YEAR,TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,COUNTY,ST,BIA_CODE,TRIBE,FEDERAL_FACILITY,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,Location 1
01/01/2002 12:00:00 AM,00612THRMKZENOG,THERMO KING DE PUERTO RICO,517 ZONA INDUSTRIAL,ARECIBO,PR,,,NO,3585,3585,,,,,336391,336391,,,,,1.30E+12,CHROMIUM,7440473,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,,0,,1600,,,,1600,,,0,0,,,0,0,0,0,0,0,,,,,,,,1600,,,1600,,0.69,INGERSOLL-RAND CO,54976795,"(18.45815, -66.746457)"
01/01/2002 12:00:00 AM,00747KNDLLROUTE,B. BRAUN OF PR. INC.,STATE RD #2 KM. 215.7,SABANA GRANDE,PR,,,NO,3841,3841,3082,2834,,,339112,339112,,,,,1.30E+12,ETHYLENE OXIDE,75218,YES,TRI,NO,0,YES,R,Pounds,4576.5,0,0,0,0,0,0,0,0,,,0,4576.5,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,4576.5,4576.5,,,,,,,,,,,4576.5,,0.95,BBRAUN MEDICAL,43026283,"(18.08135, -66.916288)"
01/01/2002 12:00:00 AM,00791PRPYBPR03K,PREPA-YABUCOA GAS TURBINES POW ER PLANT,PR-03 KM 865,HUMACAO,PR,,,NO,4911,4911,,,,,221119,221119,,,,,1.30E+12,POLYCYCLIC AROMATIC COMPOUNDS,,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,0,,,,,,,,,,,0,0,0.44,PUERTO RICO ELECTRIC POWER AUTHORITY,90034703,"(18.101111, -65.828333)"
01/01/2002 12:00:00 AM,00714STRYKRD3KM,STRYKER PR LTD,HWY #3 KM. 131.2,ARROYO,PR,,,NO,3842,3842,,,,,339113,339113,,,,,1.30E+12,BENZENE,71432,YES,TRI,NO,0,YES,A,Pounds,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,,,,,,,,,,,,0,,,STRYKER,,"(17.974701, -66.045777)"
01/01/2002 12:00:00 AM,00747KNDLLROUTE,B. BRAUN OF PR. INC.,STATE RD #2 KM. 215.7,SABANA GRANDE,PR,,,NO,3841,3841,3082,2834,,,326121,326121,,,,,1.30E+12,DI(2-ETHYLHEXYL) PHTHALATE,117817,YES,TRI,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,0,,,53568,,,53568,,,0,0,,,0,0,0,0,0,,,,,,,,,53569,,,53569,0,1,BBRAUN MEDICAL,43026283,"(18.08135, -66.916288)"
01/01/2002 12:00:00 AM,00718DLLTMINDUS,DUAL-LITE MANUFACTURING INC,RD 31 INT 192,NAGUABO,PR,,,NO,,,,,,,335122,335122,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,,0,,,,,2857,2857,,,0,0,,,0,0,0,0,0,0,,,,,,,0,2857,,,2857,,0.84,HUBBELL INC,1181858,"(18.212687, -65.74205)"
01/01/2002 12:00:00 AM,00754LNCMNURBAP,LANCO MANUFACTURING CORP,URB.APONTE #5,SAN LORENZO,PR,,,NO,2851,2851,,,,,325510,325510,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,,,,,,,,,,,,0,,1.02,NA,NA,"(18.193248, -65.94819)"
01/01/2002 12:00:00 AM,00735SNVYNLAKEC,U.S. NAVY NAVAL STATION ROOSEVELT ROADS SMALL ARMS RANGE,LAKE CHAMBERLAIN RD,CEIBA,PR,,,YES,9711,9711,,,,,928110,928110,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,9836.1,9836.1,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,9836.1,9836.1,,,,,,,,,,,9836.1,,0,US DEPARTMENT OF DEFENSE,NA,"(18.242103, -65.639031)"
01/01/2002 12:00:00 AM,00784CPHRMSTATE,LILLY DEL CARIBE INC PR06,STATE RD 53 KM 82 JOBOS EXIT 83,GUAYAMA,PR,,,NO,2833,2833,,,,,325411,325411,,,,,1.30E+12,POLYCYCLIC AROMATIC COMPOUNDS,,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,,,,,,,,,,,,0,,0,ELI LILLY & CO,6421325,"(17.981111, -66.153056)"
01/01/2002 12:00:00 AM,00636MRSNPDORAD,EMERSON PUERTO RICO INC,HWY 693 KM 73 DORADO INDUSTRIAL PARK,DORADO,PR,,,NO,3629,3629,,,,,335999,335999,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,0,,,,,,,,,,,0,,0.94,EMERSON ELECTRIC CO,6269633,"(18.465941, -66.292768)"
01/01/2002 12:00:00 AM,00714STRYKRD3KM,STRYKER PR LTD,HWY #3 KM. 131.2,ARROYO,PR,,,NO,3842,3842,,,,,339113,339113,,,,,1.30E+12,STYRENE,100425,YES,TRI,NO,0,YES,A,Pounds,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,,,0,0,0,0,0,,,,,,,,,,,,0,,,STRYKER,,"(17.974701, -66.045777)"
01/01/2002 12:00:00 AM,00732CHCKPSABAN,CHECKPOINT CARIBBEAN LTD,SABANETAS INDUSTRIAL PARK LOT 28,PONCE,PR,,,NO,3679,3679,,,,,334419,334419,,,,,1.30E+12,LEAD,7439921,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,50,,,,,,,,,,,,,,,,50,,,,,,0,,,0,0,,,0,0,0,0,50,0,,,,,,,,,,,0,0,1,CHECKPOINT SYSTEMS INC,61844015,"(18.01395, -66.58124)"
01/01/2002 12:00:00 AM,00701CYNMDPRROA,BASF AGRICULTURAL PRODUCTS DE PUERTO RICO,STATE RD PR 2 KM 47.4,MANATI,PR,,,NO,2869,2869,,,,,325311,325311,,,,,1.30E+12,"BENZO(G,H,I)PERYLENE",191242,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,0,0,,0,0,0,0,0,0,,,,,,,,,,0,0,0,1.46,BASF CORP,71014385,"(18.437222, -66.475388)"
