"num_aep","edificios","municipio","regi_n","direcci_n_f_sica","latitud","longitud","location"
"8675","ESCUELA BO. PIÑAS","TOA ALTA","BAYAMÓN","Carr. 861 Ramal 828, Urb. Toa Alta Heights, Toa Alta, PR 00921","18.3609114936","-66.2154108419","(18.360911, -66.215411)"
"3420","CUARTEL DE LA POLICÍA","LAS PIEDRAS","HUMACAO","CALLE CELSO BARBOSA, #181, LAS PIEDRAS, PR","18.1847616317","-65.871578459","(18.184762, -65.871578)"
"8379","ESCUELA LA PLENA","JUANA DÍAZ","PONCE","Calle 510 Km. 2 Hm. 4 Barrio Sabana Llana, Sector Aguilita, Juana Díaz, PR 00795                  ","18.0203426668","-66.5286449978","(18.020343, -66.528645)"
"2020","CENTRO GUBERNAMENTAL","AGUADA","AGUADILLA","CALLE M. BENÍTEZ, AGUADA, P.R.","18.3814399995","-67.1948999977","(18.38144, -67.1949)"
"3302","CUARTEL DE LA POLICÍA JUAN DOMINGO","GUAYNABO","BAYAMÓN","AVE. JUAN DOMINGO, GUAYNABO, P.R.","18.397366245","-66.1227162912","(18.397366, -66.122716)"
"8983","ESCUELA VOCACIONAL LAS CUEVAS","TRUJILLO ALTO","CAROLINA","Carr. 181 Bo. KM. 1.8 BO. Las Cuevas, Trujillo Alto, P.R.","18.3685763601","-66.0115409104","(18.368576, -66.011541)"
"8219","ESCUELA PULGUILLAS","AIBONITO","CAGUAS","Carr. Estatal 723, Km. 7.4, Barrio Pulguillas, Coamo, PR  00769 (PERTENECE A COAMO PERO, EL MANTENIMIENTO CORRESPONDE A CAGUAS) ","18.1536743347","-66.3404170016","(18.153674, -66.340417)"
"8648","ESCUELA NUEVA BARRIO ESPINO","SAN LORENZO","CAGUAS","Carr. 181 Km. 12.0 Ramal 745 Bo. Espino, San Lorenzo, P.R.    00754","18.1206916654","-65.9933673341","(18.120692, -65.993367)"
"8493","ESCUELA MARCELINO RODRÍGUEZ","MOCA","AGUADILLA","Carr. 125, Km. 9.7, Moca, P. R. 00676","18.3800575317","-67.0783548895","(18.380058, -67.078355)"
"8626","ESCUELA VOC. SAN LORENZO","SAN LORENZO","CAGUAS","Carr. 181 Km. 32.5, Bo. Quebrada, San Lorenzo, P.R. 00754","18.1987066687","-65.9627450012","(18.198707, -65.962745)"
"8346","ESCUELA VILLA UNIVERSITARIA","HUMACAO","HUMACAO","Ave. Tejas Calle 20 Urb. Villa Universitaria, Humacao, PR","18.1428268964","-65.8361851639","(18.142827, -65.836185)"
"1423","CENTRO METROPOLITANO DE DENUNCIAS E INVESTIGACIONES","HATO REY","ADMINISTRADOR&FA","CALLE PEÑUELAS NÚM. 74, HATO REY, SAN JUAN, P.R.","18.4096943705","-66.0547226157","(18.409694, -66.054723)"
"8992","ESCUELA   LOS LLANOS  ","  ARECIBO  ","  ARECIBO  ","Calle 2 Sector Los Llanos, Bo. Santana, Arecibo                                                                                 ","18.4417250539","-66.6701570729","(18.441725, -66.670157)"
"3830","CUARTEL DE LA POLICÍA","LOÍZA","CAROLINA","CARR. # 187, KM. 11.0, LOÍZA, P.R.","18.4335886556","-65.8763310531","(18.433589, -65.876331)"
"8644","ESCUELA LUIS MUÑOZ RIVERA (SIGLO XXI)","SAN LORENZO","CAGUAS","Calle Luis Muñoz Rivera, San Lorenzo, P.R.  00754","18.1861399992","-65.9634829988","(18.18614, -65.963483)"
"2210","CENTRO GUBERNAMENTAL","COAMO","GUAYAMA","CARRETERA 153, KM 19, CALLE BALDORIOTY, COAMO, P.R.","18.0804899988","-66.3629000014","(18.08049, -66.3629)"
"8293","ESCUELA URBANA","GUAYANILLA","PONCE","Carr. 127 Bo. Quebradas, PO Box 560459, Guayanilla, PR 00656","18.0323692639","-66.8005946849","(18.032369, -66.800595)"
"8431","ESCUELA LOÍZA VALLEY","CANÓVANAS","CAROLINA","Calle Adonis Núm. 16, Urb. Loíza Valley, Canóvanas, P.R.","18.3727122225","-65.9136542111","(18.372712, -65.913654)"
"8759","ESCUELA CAMINO NUEVO","YABUCOA","HUMACAO","Parcelas Camino Nuevo, Yabucoa, P.R.","18.0364343695","-65.8466653232","(18.036434, -65.846665)"
"8655","ESCUELA PATRIA LATORRE RAMÍREZ","SAN SEBASTIÁN","AGUADILLA","Carr. 125 Km. 23.4, Bo. Piedras Blancas, San Sebastián, PR  00685    ","18.3336548697","-66.9778373189","(18.333655, -66.977837)"
"9120","DESTACAMENTO E LA POLICÍA BO. BOQUERÓN","CABO ROJO","MAYAGUEZ","CARR. #101, KM. 3.1, BO. BOQUERÓN, CABO ROJO, P.R.","18.0279127792","-67.1672518882","(18.027913, -67.167252)"
"8048","ESCUELA URBANA (SIGLO XXI)","AGUAS BUENAS","CAGUAS","CARR. 156, RAMAL 794, SECTOR CAMINO VERDE, BO. CAGUITAS AGUAS BUENAS, P.R. 00703","18.2524000014","-66.101288335","(18.2524, -66.101288)"
"4260","TRIBUNAL DISTRITO","FAJARDO","HUMACAO","CALLE VICTORÍA NÚM. 9, FAJARDO, P.R.","18.3268703","-65.6467496","(18.32687, -65.64675)"
"8265","ESCUELA URB. MONTE BRISAS","FAJARDO","HUMACAO","Calle A 4ta. Extensión, Urb. Monte Brisas, Fajardo, PR","18.3418547249","-65.6554129011","(18.341855, -65.655413)"
"2440","CENTRO GUBERNAMENTAL","LUQUILLO","CAROLINA","CALLE 14 DE JULIO, LUQUILLO, P.R. 00773","18.3751100002","-65.7171499996","(18.37511, -65.71715)"
"3112","DIVISIÓN VEÍICULOS HURTADOS Y TRANSITO","BAYAMÓN","BAYAMÓN","EXPRESO RÍO HONDO, BO JUAN SÁNCHEZ, BAYAMÓN P.R.","18.41855473","-66.1464180498","(18.418555, -66.146418)"
"3600","CUARTEL DE LA POLICÍA","SABANA GRANDE","MAYAGUEZ","CARR. #2, KM. 214.6 SABANA GRANDE, P.R. ","18.0783791012","-66.9637854055","(18.078379, -66.963785)"
"8521","ESCUELA URBANA NARANJITO","NARANJITO","BAYAMÓN","Carr. 164 Interior, Calle Giorgetti, frente al Tribunal de Justicia (Apartado 25, Naranjito, PR 00719)","18.2996552345","-66.249008743","(18.299655, -66.249009)"
