"table_id","codigo","escuela","region","distrito","municipio_escolar","direccio_fisica","direccion_municipio","direccio_estado","direccion_zipcode","geolocalizacion","telefono","fax","director","zona","estatus_actual","nivel_original","grados_original","grados_posterior","matricula_total","grado_infant","grado_toddler","grado_pk","grado_pke","grado_pkm","grado_k","grado_1","grado_2","grado_3","grado_4","grado_5","grado_6","grado_sge","grado_7","grado_8","grado_9","grado_sgi","grado_10","grado_11","grado_12","grado_sgs","espa_ol_proficiente_avanzado","espa_ol_pre_b_sico","espa_ol_b_sico","espa_ol_proficiente","espa_ol_avanzado","matem_ticas_proficiente_avanzado","matem_ticas_pre_b_sico","matem_ticas_b_sico","matem_ticas_proficiente","matem_ticas_avanzado","ingl_s_proficiente_avanzado","ingl_s_pre_b_sico","ingl_s_b_sico","ingl_s_proficiente","ingl_s_avanzado","bajo_nivel_pobreza"
"677","63099","LUIS RODRIGUEZ CABRERO","SAN JUAN","SAN JUAN I","SAN JUAN I","CALLE CORONA RES LUIS LLORENS TORRES","SAN JUAN","PR","00913-0000","(18.44864, -66.049)","727-6095","727-6095","ARMANDO MONTERO","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","304",,,,,,"44","67","48","24","40","30",,"51",,,,,,,,,"15.04","33.63","51.33","12.39","2.65","15.04","23.01","61.95","13.27","1.77","10.91","45.45","43.64","9.09","1.82","98.95"
"680","71134","LUISA M VALDERRAMA  (SAN ANTONIO)","ARECIBO","VEGA ALTA","DORADO","CARR 696 KM 1HM 5 BO HIGILLAR","DORADO","PR","-646","(18.44889, -66.29355)","796-4410","796-4450","MIGDALIA DAVILA","RURAL","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","257",,,,,,"39","42","44","41","30","37",,"24",,,,,,,,,"17.47","36.14","46.39","14.46","3.01","18.79","31.52","49.70","12.73","6.06","18.18","37.58","44.24","14.55","3.64","88.02"
"681","31583","LUTGARDA RIVERA REYES","HUMACAO","FAJARDO","NAGUABO","CARR 969 KM 2 HM 0 BO FLORIDA","NAGUABO","PR","00718-9713","(18.23751, -65.7822)","874-0010","874-0010","CARMEN M ARES PEREZ","RURAL","SI","ELEMENTAL","PK - 6","PK - 6","112",,,"9",,,"27","19","20","13","13","5","6",,,,,,,,,,"94.74","0","5.26","21.05","73.68","78.95","2.63","18.42","7.89","71.05","78.95","7.89","13.16","7.89","71.05","86.05"
"682","35071","LUZ A CRUZ DE SANTANA","HUMACAO","LAS PIEDRAS","HUMACAO","CALLE 15 URB VILLA UNIVERSITARIA","HUMACAO","PR","00791-0000","(18.14278, -65.83631)","850-6460 - 285-2886","850-6460","ARLENE ALICEA PINERO","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","304",,,,,,"38","53","53","52","60","47",,"1",,,,,,,,,"88.13","1.25","10.63","23.75","64.38","91.88","0.63","7.50","16.25","75.63","81.25","4.38","14.38","26.88","54.38","72.16"
"683","66209","LUZ AMERICA CALDERON","SAN JUAN","CAROLINA","CAROLINA II","AVE CENTRAL BOULEVAR 18 VC","CAROLINA","PR","9843464","(18.39749, -65.96129)","768-4044","752-1135","VACANTE","URBANA","SI","SECUNDARIO","8 - 12 EEI, EES","9 - 12, EES","638",,,,,,,,,,,,,,,,"151","25","149","170","139","4","31.90","17.18","50.92","23.31","8.59","0.61","35.98","63.41","0.61","0","31.88","34.38","33.75","16.25","15.63","75.37"
"684","66233","LUZ ENEIDA COLON","SAN JUAN","SAN JUAN II","SAN JUAN V","CALLE LAS VEGAS FINAL, URB. LAS CUBRE","SAN JUAN","PR","00926-5636","(18.36228, -66.07618)","720-1382","287-2330","ADIANEZ ACEVEDO PALAU","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6 , EEE","287",,,,,,"42","48","51","44","58","37",,"7",,,,,,,,,"32.39","21.13","46.48","21.83","10.56","41.55","10.56","47.89","26.76","14.79","26.76","27.46","45.77","19.72","7.04","87.59"
"685","46813","LYDIA MELENDEZ","MAYAGUEZ","AGUADILLA","AGUADA","CARR 115 KM 23 HM 9 BO ASOMANTE","AGUADA","PR","00602-0000","(18.38322, -67.18349)","868-3850","868-9598","AILEEN CABAN SOTO","URBANA","SI","ELEMENTAL","K - 6 , EEE","K - 6, EEE","396",,,,,,"52","50","66","60","73","66",,"29",,,,,,,,,"39.81","17.59","42.59","19.44","20.37","29.63","17.59","52.78","17.59","12.04","41.67","21.30","37.04","25.93","15.74","86.97"
"686","58180","LYSANDER BORRERO TERRY","PONCE","SANTA ISABEL","VILLALBA","CARR 149 KM 57.2 BO TIERRA SANTA","VILLALBA","PR","7661703","(18.12665, -66.49979)","847-2110","847-4836","ZULMA ORTIZ","URBANA","SI","SUPERIOR","10 - 12 , EES","10 - 12 , EES","886",,,,,,,,,,,,,,,,"197",,"225","211","253",,"43.78","12.94","43.28","24.38","19.40","6.97","17.41","75.62","6.47","0.50","51.24","19.40","29.35","25.87","25.37","62.75"
"688","50781","MAGUEYES II","PONCE","YAUCO","GUANICA","BO SUSUA BAJA SECTOR MAGUEYES","GUANICA","PR","00653-0000","(18.02262, -66.88557)","821-7000","821-7000","NYVIA LUCENA","RURAL","SI","ELEMENTAL","PK - 6 , EEE","PK - 6 , EEE","139",,,"14","6",,"19","24","15","21","21","10",,"9",,,,,,,,,"63.16","0","36.84","28.07","35.09","68.42","0","31.58","36.84","31.58","38.60","15.79","45.61","26.32","12.28","81.42"
"689","42267","MANUEL A BARRETO","MAYAGUEZ","MAYAGUEZ","MAYAGUEZ","CALLE PILAR DEFILLO","MAYAGUEZ","PR","6811260","(18.20043, -67.14468)","832-3046","805-3265","ROSA L. NAZARIO SANTIAGO","URBANA","SI","INTERMEDIO","7 - 9 , EEI","7 - 9 , EEI","218",,,,,,,,,,,,"83",,"64","64",,"7",,,,,"26.09","28.02","45.89","14.98","11.11","5.29","38.46","56.25","4.81","0.48","27.80","42.93","29.27","19.51","8.29","89.77"
