"nombresenador","measuredate","measuretype","measurenumber","proyecto","reference","votetype","countofvotetype","measurestatus","proyecto1","mes","a_o","labelvotetype","countofvotes","nombre"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","2021","P. del S. 2021","Inf. Conferencia","Abstenido","1","Aprobada","P. del S. 2021","06-junio","2012","Abstenido","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","2119","P. del S. 2119","Inf. Conferencia","En contra","1","Aprobada","P. del S. 2119","06-junio","2012","En contra","1","Hon. Alejandro García Padilla"
"Hon. Angel M. Rodriguez Otero","2013-04-25T00:00:00.000","R. del S.","279","R. del S. 0279","Medida","A favor","1","Aprobada","R. del S. 0279","04-abril","2013","A favor","1","Hon. Angel M. Rodriguez Otero"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","2148","P. del S. 2148","Inf. Conferencia","A favor","1","Aprobada","P. del S. 2148","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","2164","P. del S. 2164","Inf. Conferencia","A favor","1","Aprobada","P. del S. 2164","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","2181","P. del S. 2181","Inf. Conferencia","En contra","1","Aprobada","P. del S. 2181","06-junio","2012","En contra","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","2265","P. del S. 2265","Inf. Conferencia","A favor","1","Aprobada","P. del S. 2265","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","2317","P. del S. 2317","Conc. Enmiendas","A favor","1","Aprobada","P. del S. 2317","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","2431","P. del S. 2431","Inf. Conferencia","A favor","1","Aprobada","P. del S. 2431","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. del S.","1289","P. del S. 1289","Conc. Enmiendas","A favor","1","Aprobada","P. del S. 1289","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1525","Nombramiento 1525","Otros","Ausente","1","Aprobada","Nombramiento 1525","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","R. C. del S.","1064","R. C. del S. 1064","Informe","Ausente","1","Aprobada","R. C. del S. 1064","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1506","Nombramiento 1506","Segundo Inf.","Ausente","1","Aprobada","Nombramiento 1506","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1509","Nombramiento 1509","Otros","Ausente","1","Aprobada","Nombramiento 1509","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1510","Nombramiento 1510","Otros","Ausente","1","Aprobada","Nombramiento 1510","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1512","Nombramiento 1512","Otros","Ausente","1","Aprobada","Nombramiento 1512","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1513","Nombramiento 1513","Otros","Ausente","1","Aprobada","Nombramiento 1513","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1514","Nombramiento 1514","Otros","Ausente","1","Aprobada","Nombramiento 1514","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1517","Nombramiento 1517","Otros","Ausente","1","Aprobada","Nombramiento 1517","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1518","Nombramiento 1518","Otros","Ausente","1","Aprobada","Nombramiento 1518","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1519","Nombramiento 1519","Otros","Ausente","1","Aprobada","Nombramiento 1519","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1521","Nombramiento 1521","Otros","Ausente","1","Aprobada","Nombramiento 1521","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1522","Nombramiento 1522","Otros","Ausente","1","Aprobada","Nombramiento 1522","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1499","Nombramiento 1499","Otros","Ausente","1","Aprobada","Nombramiento 1499","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
