"nombresenador","measuredate","measuretype","measurenumber","proyecto","reference","votetype","countofvotetype","measurestatus","proyecto1","mes","a_o","labelvotetype","countofvotes","nombre"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1386","Nombramiento 1386","Otros","A favor","1","Aprobada","Nombramiento 1386","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1411","Nombramiento 1411","Otros","A favor","1","Aprobada","Nombramiento 1411","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2818","R. del S. 2818","Medida","A favor","1","Aprobada","R. del S. 2818","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2819","R. del S. 2819","Medida","A favor","1","Aprobada","R. del S. 2819","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","S. R.","2812","S. R. 2812","Medida","A favor","1","Aprobada","S. R. 2812","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","S. R.","2813","S. R. 2813","Medida","A favor","1","Aprobada","S. R. 2813","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1372","Nombramiento 1372","Otros","A favor","1","Aprobada","Nombramiento 1372","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1373","Nombramiento 1373","Otros","A favor","1","Aprobada","Nombramiento 1373","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1376","Nombramiento 1376","Otros","A favor","1","Aprobada","Nombramiento 1376","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1377","Nombramiento 1377","Otros","A favor","1","Aprobada","Nombramiento 1377","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1378","Nombramiento 1378","Otros","A favor","1","Aprobada","Nombramiento 1378","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1379","Nombramiento 1379","Otros","A favor","1","Aprobada","Nombramiento 1379","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1381","Nombramiento 1381","Otros","A favor","1","Aprobada","Nombramiento 1381","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2816","R. del S. 2816","Medida","A favor","1","Aprobada","R. del S. 2816","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1385","Nombramiento 1385","Otros","A favor","1","Aprobada","Nombramiento 1385","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2815","R. del S. 2815","Medida","A favor","1","Aprobada","R. del S. 2815","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1388","Nombramiento 1388","Otros","A favor","1","Aprobada","Nombramiento 1388","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1390","Nombramiento 1390","Otros","A favor","1","Aprobada","Nombramiento 1390","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1391","Nombramiento 1391","Otros","A favor","1","Aprobada","Nombramiento 1391","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1392","Nombramiento 1392","Otros","A favor","1","Aprobada","Nombramiento 1392","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1394","Nombramiento 1394","Otros","A favor","1","Aprobada","Nombramiento 1394","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1395","Nombramiento 1395","Otros","A favor","1","Aprobada","Nombramiento 1395","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1397","Nombramiento 1397","Otros","A favor","1","Aprobada","Nombramiento 1397","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1400","Nombramiento 1400","Otros","A favor","1","Aprobada","Nombramiento 1400","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1403","Nombramiento 1403","Otros","A favor","1","Aprobada","Nombramiento 1403","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1404","Nombramiento 1404","Otros","A favor","1","Aprobada","Nombramiento 1404","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1405","Nombramiento 1405","Otros","A favor","1","Aprobada","Nombramiento 1405","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1406","Nombramiento 1406","Otros","A favor","1","Aprobada","Nombramiento 1406","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2588","R. del S. 2588","Informe","A favor","1","Aprobada","R. del S. 2588","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1382","Nombramiento 1382","Otros","A favor","1","Aprobada","Nombramiento 1382","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","184","R. del S. 0184","Informe Final","A favor","1","Aprobada","R. del S. 0184","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","Nombramiento","1464","Nombramiento 1464","Otros","Ausente","1","Aprobada","Nombramiento 1464","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2623","R. del S. 2623","Informe","A favor","1","Aprobada","R. del S. 2623","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2720","R. del S. 2720","Informe","A favor","1","Aprobada","R. del S. 2720","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2721","R. del S. 2721","Informe","A favor","1","Aprobada","R. del S. 2721","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2733","R. del S. 2733","Informe","A favor","1","Aprobada","R. del S. 2733","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2740","R. del S. 2740","Informe","A favor","1","Aprobada","R. del S. 2740","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2741","R. del S. 2741","Informe","A favor","1","Aprobada","R. del S. 2741","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2742","R. del S. 2742","Informe","A favor","1","Aprobada","R. del S. 2742","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2802","R. del S. 2802","Medida","A favor","1","Aprobada","R. del S. 2802","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2806","R. del S. 2806","Medida","A favor","1","Aprobada","R. del S. 2806","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-07-01T00:00:00.000","P. de la C.","4028","P. de la C. 4028","Inf. Conferencia","A favor","1","Aprobada","P. de la C. 4028","07-julio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-07-01T00:00:00.000","R. C. de la C.","1395","R. C. de la C. 1395","Inf. Conf./Recon.","A favor","1","Aprobada","R. C. de la C. 1395","07-julio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2817","R. del S. 2817","Medida","A favor","1","Aprobada","R. del S. 2817","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","140","R. del S. 0140","7mo Informe Parcial","A favor","1","Aprobada","R. del S. 0140","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1413","Nombramiento 1413","Otros","A favor","1","Aprobada","Nombramiento 1413","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","542","R. del S. 0542","Informe Final","A favor","1","Aprobada","R. del S. 0542","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","1410","R. del S. 1410","Informes Parciales","A favor","1","Aprobada","R. del S. 1410","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","1807","R. del S. 1807","Informe Final","A favor","1","Aprobada","R. del S. 1807","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","1865","R. del S. 1865","Informes Parciales","A favor","1","Aprobada","R. del S. 1865","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","1877","R. del S. 1877","Informe Final","A favor","1","Aprobada","R. del S. 1877","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2623","R. del S. 2623","Informes Parciales","A favor","1","Aprobada","R. del S. 2623","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","P. del S.","2718","P. del S. 2718","Informe","A favor","1","Aprobada","P. del S. 2718","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2793","R. del S. 2793","Medida","A favor","1","Aprobada","R. del S. 2793","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2807","R. del S. 2807","Medida","A favor","1","Aprobada","R. del S. 2807","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2808","R. del S. 2808","Medida","A favor","1","Aprobada","R. del S. 2808","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2810","R. del S. 2810","Medida","A favor","1","Aprobada","R. del S. 2810","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2811","R. del S. 2811","Medida","A favor","1","Aprobada","R. del S. 2811","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","2814","R. del S. 2814","Medida","A favor","1","Aprobada","R. del S. 2814","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-08-13T00:00:00.000","R. del S.","58","R. del S. 0058","Informe Final","A favor","1","Aprobada","R. del S. 0058","08-agosto","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2834","R. del S. 2834","Medida","A favor","1","Aprobada","R. del S. 2834","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1407","Nombramiento 1407","Otros","A favor","1","Aprobada","Nombramiento 1407","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2821","R. del S. 2821","Medida","A favor","1","Aprobada","R. del S. 2821","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2822","R. del S. 2822","Medida","A favor","1","Aprobada","R. del S. 2822","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2823","R. del S. 2823","Medida","A favor","1","Aprobada","R. del S. 2823","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2824","R. del S. 2824","Medida","A favor","1","Aprobada","R. del S. 2824","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2825","R. del S. 2825","Medida","A favor","1","Aprobada","R. del S. 2825","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2826","R. del S. 2826","Medida","A favor","1","Aprobada","R. del S. 2826","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2827","R. del S. 2827","Medida","A favor","1","Aprobada","R. del S. 2827","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2828","R. del S. 2828","Medida","A favor","1","Aprobada","R. del S. 2828","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2829","R. del S. 2829","Medida","A favor","1","Aprobada","R. del S. 2829","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2830","R. del S. 2830","Medida","A favor","1","Aprobada","R. del S. 2830","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2831","R. del S. 2831","Medida","A favor","1","Aprobada","R. del S. 2831","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2803","R. del S. 2803","Informe","A favor","1","Aprobada","R. del S. 2803","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2833","R. del S. 2833","Medida","A favor","1","Aprobada","R. del S. 2833","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2745","R. del S. 2745","Informe","A favor","1","Aprobada","R. del S. 2745","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2835","R. del S. 2835","Medida","A favor","1","Aprobada","R. del S. 2835","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2836","R. del S. 2836","Medida","A favor","1","Aprobada","R. del S. 2836","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2837","R. del S. 2837","Medida","A favor","1","Aprobada","R. del S. 2837","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2838","R. del S. 2838","Medida","A favor","1","Aprobada","R. del S. 2838","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2839","R. del S. 2839","Medida","A favor","1","Aprobada","R. del S. 2839","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","Nombramiento","1375","Nombramiento 1375","Otros","Ausente","1","Aprobada","Nombramiento 1375","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","Nombramiento","1410","Nombramiento 1410","Otros","Ausente","1","Aprobada","Nombramiento 1410","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","Nombramiento","1414","Nombramiento 1414","Otros","Ausente","1","Aprobada","Nombramiento 1414","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","Nombramiento","1428","Nombramiento 1428","Otros","Ausente","1","Aprobada","Nombramiento 1428","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","Nombramiento","1433","Nombramiento 1433","Otros","Ausente","1","Aprobada","Nombramiento 1433","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","Nombramiento","1445","Nombramiento 1445","Otros","Ausente","1","Aprobada","Nombramiento 1445","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-10T00:00:00.000","Nombramiento","1448","Nombramiento 1448","Otros","Ausente","1","Aprobada","Nombramiento 1448","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-29T00:00:00.000","P. del S.","2501","P. del S. 2501","Conc. Enmiendas","A favor","1","Aprobada","P. del S. 2501","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2832","R. del S. 2832","Medida","A favor","1","Aprobada","R. del S. 2832","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","1210","R. del S. 1210","Informe Final","A favor","1","Aprobada","R. del S. 1210","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1415","Nombramiento 1415","Otros","A favor","1","Aprobada","Nombramiento 1415","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1417","Nombramiento 1417","Otros","A favor","1","Aprobada","Nombramiento 1417","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1418","Nombramiento 1418","Otros","A favor","1","Aprobada","Nombramiento 1418","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1419","Nombramiento 1419","Otros","A favor","1","Aprobada","Nombramiento 1419","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1420","Nombramiento 1420","Otros","A favor","1","Aprobada","Nombramiento 1420","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1421","Nombramiento 1421","Otros","A favor","1","Aprobada","Nombramiento 1421","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1422","Nombramiento 1422","Otros","A favor","1","Aprobada","Nombramiento 1422","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1424","Nombramiento 1424","Otros","A favor","1","Aprobada","Nombramiento 1424","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","Nombramiento","1427","Nombramiento 1427","Otros","A favor","1","Aprobada","Nombramiento 1427","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","185","R. del S. 0185","Informe Final","A favor","1","Aprobada","R. del S. 0185","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","709","R. del S. 0709","Informe Final","A favor","1","Aprobada","R. del S. 0709","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","856","R. del S. 0856","Informe Final","A favor","1","Aprobada","R. del S. 0856","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2804","R. del S. 2804","Informe","A favor","1","Aprobada","R. del S. 2804","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","985","R. del S. 0985","Informe Final","A favor","1","Aprobada","R. del S. 0985","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","R. del S.","2576","R. del S. 2576","Informe","A favor","1","Aprobada","R. del S. 2576","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","1495","R. del S. 1495","Informe Final","A favor","1","Aprobada","R. del S. 1495","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","1643","R. del S. 1643","Informes Parciales","A favor","1","Aprobada","R. del S. 1643","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","1671","R. del S. 1671","Informe Final","A favor","1","Aprobada","R. del S. 1671","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","1911","R. del S. 1911","Informe Final","A favor","1","Aprobada","R. del S. 1911","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","1985","R. del S. 1985","Informe Final","A favor","1","Aprobada","R. del S. 1985","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2097","R. del S. 2097","Informes Parciales","A favor","1","Aprobada","R. del S. 2097","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2259","R. del S. 2259","Informe Final","A favor","1","Aprobada","R. del S. 2259","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2374","R. del S. 2374","Informes Parciales","A favor","1","Aprobada","R. del S. 2374","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2742","R. del S. 2742","Informes Parciales","A favor","1","Aprobada","R. del S. 2742","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2101","R. del S. 2101","Informe","A favor","1","Aprobada","R. del S. 2101","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2398","R. del S. 2398","Informe","A favor","1","Aprobada","R. del S. 2398","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2687","R. del S. 2687","Informe","A favor","1","Aprobada","R. del S. 2687","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","2743","R. del S. 2743","Informe","A favor","1","Aprobada","R. del S. 2743","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-09-17T00:00:00.000","R. del S.","876","R. del S. 0876","Informe Final","A favor","1","Aprobada","R. del S. 0876","09-septiembre","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. de la C.","2278","P. de la C. 2278","Inf. Conferencia","A favor","1","Aprobada","P. de la C. 2278","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","P. de la C.","3987","P. de la C. 3987","Inf. Conferencia","A favor","1","Aprobada","P. de la C. 3987","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","Nombramiento","1341","Nombramiento 1341","Otros","A favor","1","Aprobada","Nombramiento 1341","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","Nombramiento","1349","Nombramiento 1349","Otros","A favor","1","Aprobada","Nombramiento 1349","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","Nombramiento","1352","Nombramiento 1352","Otros","A favor","1","Aprobada","Nombramiento 1352","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","Nombramiento","1362","Nombramiento 1362","Otros","A favor","1","Aprobada","Nombramiento 1362","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","Nombramiento","1363","Nombramiento 1363","Otros","A favor","1","Aprobada","Nombramiento 1363","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","Nombramiento","1364","Nombramiento 1364","Otros","A favor","1","Aprobada","Nombramiento 1364","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-06-30T00:00:00.000","Nombramiento","1370","Nombramiento 1370","Otros","A favor","1","Aprobada","Nombramiento 1370","06-junio","2012","A favor","1","Hon. Alejandro García Padilla"
