"ï»¿""geometry__type",id,properties__OBJECTID,properties__WIFI,properties__CNTY,properties__EASTING,properties__NOMBRE,properties___id,properties__MUNICIPIO,properties__NORTHING,geometry__coordinates001,geometry__coordinates002,properties__MUNICIPI_1
Point,37,38,OK,65,"(18.4862, -66.8258)",Plaza de Recreo,38,Hatillo,"(18.4862, -66.8258)","(-66.82580917566781, 18.486227872492993)","(-66.82580917566781, 18.486227872492993)",Hatillo
Point,38,39,OK,67,"(18.1393, -67.128)",Plaza de Recreo,39,Hormigueros,"(18.1393, -67.128)","(-67.12804932913579, 18.139335025103694)","(-67.12804932913579, 18.139335025103694)",Hormigueros
Point,39,40,OK,69,"(18.1502, -65.827)",Plaza de Recreo,40,Humacao,"(18.1502, -65.827)","(-65.82697143571288, 18.150199741045387)","(-65.82697143571288, 18.150199741045387)",Humacao
Point,40,41,OKJRT,71,"(18.5007, -67.0238)",Plaza de Recreo,41,Isabela,"(18.5007, -67.0238)","(-67.02384878433347, 18.50074809908668)","(-67.02384878433347, 18.50074809908668)",Isabela
Point,41,42,OKJRT,71,"(18.4974, -67.0218)",Plaza Festivales,42,Isabela,"(18.4974, -67.0218)","(-67.0217930394398, 18.49740739980709)","(-67.0217930394398, 18.49740739980709)",Isabela
Point,42,43,OK,73,"(18.2188, -66.5924)",Plaza de Recreo,43,Jayuya,"(18.2188, -66.5924)","(-66.59235689775397, 18.21882753733767)","(-66.59235689775397, 18.21882753733767)",Jayuya
Point,43,44,ND,75,"(18.0531, -66.5062)",Plaza de Recreo,44,Juana DÃaz,"(18.0531, -66.5062)","(-66.50618256380207, 18.053097401162958)","(-66.50618256380207, 18.053097401162958)",Juana DÃaz
Point,44,45,OK,77,"(18.2279, -65.9218)",Plaza de Recreo,45,Juncos,"(18.2279, -65.9218)","(-65.92179156699386, 18.227936316524037)","(-65.92179156699386, 18.227936316524037)",Juncos
Point,45,46,OK,79,"(18.0507, -67.0597)",Plaza de Recreo,46,Lajas,"(18.0507, -67.0597)","(-67.059689724611, 18.050651332896102)","(-67.059689724611, 18.050651332896102)",Lajas
Point,46,47,OK,81,"(18.2947, -66.8777)",Plaza de Recreo,47,Lares,"(18.2947, -66.8777)","(-66.87774195156008, 18.294703272523464)","(-66.87774195156008, 18.294703272523464)",Lares
Point,47,48,OK,83,"(18.2524, -66.9916)",Plaza de Recreo,48,Las MarÃas,"(18.2524, -66.9916)","(-66.9916484344165, 18.252375444650944)","(-66.9916484344165, 18.252375444650944)",Las MarÃas
Point,48,49,OKJRT,87,"(18.4329, -65.8799)",Plaza de Recreo,49,LoÃza,"(18.4329, -65.8799)","(-65.87993083800343, 18.432880815174258)","(-65.87993083800343, 18.432880815174258)",LoÃza
Point,49,50,ND,85,"(18.1822, -65.8647)",Plaza de Recreo,50,Las Piedras,"(18.1822, -65.8647)","(-65.86466036118955, 18.182202734784024)","(-65.86466036118955, 18.182202734784024)",Las Piedras
Point,50,51,OK,89,"(18.3759, -65.7158)",Plaza de Recreo,51,Luquillo,"(18.3759, -65.7158)","(-65.71580641497404, 18.375944864128243)","(-65.71580641497404, 18.375944864128243)",Luquillo
Point,51,52,DEC,91,"(18.4271, -66.4931)",Plaza de Recreo,52,ManatÃ,"(18.4271, -66.4931)","(-66.49312217464647, 18.427107032994307)","(-66.49312217464647, 18.427107032994307)",ManatÃ
Point,52,53,OK,93,"(18.1806, -66.9797)",Plaza de Recreo,53,Maricao,"(18.1806, -66.9797)","(-66.97970245424993, 18.180579565217645)","(-66.97970245424993, 18.180579565217645)",Maricao
Point,53,54,OK,95,"(18.0073, -65.8995)",Plaza de Recreo,54,Maunabo,"(18.0073, -65.8995)","(-65.89951811843879, 18.007342416658336)","(-65.89951811843879, 18.007342416658336)",Maunabo
Point,54,55,OK,97,"(18.201, -67.1391)",Plaza de Recreo,55,MayagÃ¼ez,"(18.201, -67.1391)","(-67.13907483686984, 18.201045148748687)","(-67.13907483686984, 18.201045148748687)",MayagÃ¼ez
Point,55,56,ND,99,"(18.3946, -67.1138)",Plaza de Recreo,56,Moca,"(18.3946, -67.1138)","(-67.11376964395042, 18.394598370544916)","(-67.11376964395042, 18.394598370544916)",Moca
