"total","a_o_escolar","pueblo"
"731","2012-01-01T00:00:00.000","GUANICA"
"560","2013-01-01T00:00:00.000","FLORIDA"
"529","2012-01-01T00:00:00.000","FLORIDA"
"521","2011-01-01T00:00:00.000","FLORIDA"
"626","2014-01-01T00:00:00.000","FLORIDA"
"1164","2012-01-01T00:00:00.000","FAJARDO"
"1217","2011-01-01T00:00:00.000","FAJARDO"
"909","2014-01-01T00:00:00.000","FAJARDO"
"1021","2013-01-01T00:00:00.000","FAJARDO"
"1642","2012-01-01T00:00:00.000","DORADO"
"1457","2011-01-01T00:00:00.000","DORADO"
"1894","2013-01-01T00:00:00.000","DORADO"
"1328","2014-01-01T00:00:00.000","DORADO"
"103","2013-01-01T00:00:00.000","CULEBRA"
"46","2012-01-01T00:00:00.000","CULEBRA"
"45","2011-01-01T00:00:00.000","CULEBRA"
"28","2014-01-01T00:00:00.000","CULEBRA"
"1618","2012-01-01T00:00:00.000","COROZAL"
"1615","2014-01-01T00:00:00.000","COROZAL"
"1297","2013-01-01T00:00:00.000","COROZAL"
"1611","2011-01-01T00:00:00.000","COROZAL"
"805","2013-01-01T00:00:00.000","COMERIO"
"1066","2011-01-01T00:00:00.000","COMERIO"
"1007","2012-01-01T00:00:00.000","COMERIO"
"1087","2014-01-01T00:00:00.000","COMERIO"
"1742","2014-01-01T00:00:00.000","COAMO"
"1896","2012-01-01T00:00:00.000","COAMO"
"2009","2011-01-01T00:00:00.000","COAMO"
"1822","2013-01-01T00:00:00.000","COAMO"
"1531","2011-01-01T00:00:00.000","CIDRA"
"1600","2012-01-01T00:00:00.000","CIDRA"
"1519","2014-01-01T00:00:00.000","CIDRA"
"1788","2013-01-01T00:00:00.000","CIDRA"
"751","2011-01-01T00:00:00.000","CIALES"
"869","2014-01-01T00:00:00.000","CIALES"
"764","2012-01-01T00:00:00.000","CIALES"
"885","2013-01-01T00:00:00.000","CIALES"
"314","2012-01-01T00:00:00.000","CEIBA"
"347","2011-01-01T00:00:00.000","CEIBA"
"478","2013-01-01T00:00:00.000","CEIBA"
"324","2014-01-01T00:00:00.000","CEIBA"
"2098","2013-01-01T00:00:00.000","CAYEY"
"2260","2014-01-01T00:00:00.000","CAYEY"
"2184","2012-01-01T00:00:00.000","CAYEY"
"2198","2011-01-01T00:00:00.000","CAYEY"
"1101","2014-01-01T00:00:00.000","CATAÑO"
"1209","2011-01-01T00:00:00.000","CATAÑO"
"1193","2012-01-01T00:00:00.000","CATAÑO"
"912","2013-01-01T00:00:00.000","CATAÑO"
"4597","2012-01-01T00:00:00.000","CAROLINA"
"4355","2011-01-01T00:00:00.000","CAROLINA"
"3865","2014-01-01T00:00:00.000","CAROLINA"
"5145","2013-01-01T00:00:00.000","CAROLINA"
"1049","2012-01-01T00:00:00.000","CANOVANAS"
"965","2014-01-01T00:00:00.000","CANOVANAS"
"920","2013-01-01T00:00:00.000","CANOVANAS"
"1096","2011-01-01T00:00:00.000","CANOVANAS"
"1161","2012-01-01T00:00:00.000","CAMUY"
"1105","2013-01-01T00:00:00.000","CAMUY"
"971","2011-01-01T00:00:00.000","CAMUY"
"1150","2014-01-01T00:00:00.000","CAMUY"
"5382","2012-01-01T00:00:00.000","CAGUAS"
"5278","2014-01-01T00:00:00.000","CAGUAS"
"5782","2011-01-01T00:00:00.000","CAGUAS"
"4769","2013-01-01T00:00:00.000","CAGUAS"
"1597","2011-01-01T00:00:00.000","CABO ROJO"
"1502","2014-01-01T00:00:00.000","CABO ROJO"
"1781","2013-01-01T00:00:00.000","CABO ROJO"
"1636","2012-01-01T00:00:00.000","CABO ROJO"
"7703","2013-01-01T00:00:00.000","BAYAMON"
"8413","2012-01-01T00:00:00.000","BAYAMON"
"7737","2011-01-01T00:00:00.000","BAYAMON"
"7752","2014-01-01T00:00:00.000","BAYAMON"
"1461","2012-01-01T00:00:00.000","BARRANQUITAS"
"2039","2013-01-01T00:00:00.000","BARRANQUITAS"
"1466","2014-01-01T00:00:00.000","BARRANQUITAS"
"1434","2011-01-01T00:00:00.000","BARRANQUITAS"
"1161","2012-01-01T00:00:00.000","BARCELONETA"
"1094","2014-01-01T00:00:00.000","BARCELONETA"
"1107","2011-01-01T00:00:00.000","BARCELONETA"
"1171","2013-01-01T00:00:00.000","BARCELONETA"
"655","2013-01-01T00:00:00.000","ARROYO"
"645","2012-01-01T00:00:00.000","ARROYO"
"680","2014-01-01T00:00:00.000","ARROYO"
"661","2011-01-01T00:00:00.000","ARROYO"
"3740","2011-01-01T00:00:00.000","ARECIBO"
"3812","2014-01-01T00:00:00.000","ARECIBO"
"3515","2013-01-01T00:00:00.000","ARECIBO"
"3938","2012-01-01T00:00:00.000","ARECIBO"
"940","2014-01-01T00:00:00.000","AÑASCO"
"773","2013-01-01T00:00:00.000","AÑASCO"
