"num_aep","edificios","municipio","regi_n","direcci_n_f_sica","latitud","longitud","location"
"2320","CENTRO GUBERNAMENTAL","HATILLO","ARECIBO","CARRETERA 119, AVE. DR. SUSONI CARR. 119 KM. 9, AL FRENTE DEL CUARTEL ESTATAL, HATILLO, P.R.","18.4860299996","-66.8274400019","(18.4860299996, -66.8274400019)"
"2450","CENTRO GUBERNAMENTAL","MANATÍ","ARECIBO","CARR. NÚM. 2 KM. 48.6, AL LADO CUARTEL POLICÍA, MANATÍ, P.R.","18.4317222934","-66.4827051863","(18.4317222934, -66.4827051863)"
"2700","CENTRO GUBERNAMENTAL","UTUADO","ARECIBO","CARR. 123, CALLE CENTRO GUBERNAMENTAL, DESPUES DE ESTACIÓN SHELL, FRENTE A COMANDANCIA, UTUADO, P.R.","18.2675800012","-66.7126199985","(18.2675800012, -66.7126199985)"
"2720","CENTRO GUBERNAMENTAL","VEGA BAJA","ARECIBO","CARR. NÚM. 2 KM. 38.3 INT. CARR. CABO CARIBE (HACIA LA PLAYA) AL LADO DEL TRIBUNAL DE VEGA BAJA, P.R.","18.4470400021","-66.3865100022","(18.4470400021, -66.3865100022)"
"2220","CENTRO GUBERNAMENTAL","COMERÍO","BAYAMÓN","CALLE MUÑUZ RIVERA, ESQ. JERONIMO RIVERA, COMERÍO, P.R.","18.2184300004","-66.2253200004","(18.2184300004, -66.2253200004)"
"2230","CENTRO GUBERNAMENTAL","COROZAL","BAYAMÓN","CARRETERA 891, KM. 13, DETRÁS CUARTEL POLICÍA, COROZAL, P.R.","18.3418000028","-66.3214000023","(18.3418000028, -66.3214000023)"
"2680","CENTRO GUBERNAMENTAL","TOA BAJA","BAYAMÓN","CALLE LUIS MUÑOZ RIVERA FINAL, TOA BAJA, P.R.","18.438839999","-66.1969699983","(18.438839999, -66.1969699983)"
"2040","CENTRO GUBERNAMENTAL","AGUAS BUENAS","CAGUAS","CALLE SGTO. RAMÓN L. REYES ROSA, AGUAS BUENAS, P.R.","18.2572025935","-66.1067223804","(18.2572025935, -66.1067223804)"
"2050","CENTRO GUBERNAMENTAL","AIBONITO","CAGUAS","CALLE GERÓNIMO MARTÍNEZ, ESQ. IGNACIO LÓPEZ, AIBONITO, P.R. ","18.1388649987","-66.2643616689","(18.1388649987, -66.2643616689)"
"2310","CENTRO GUBERNAMENTAL","GURABO","CAGUAS","CALLE EUGENIO SÁNCHEZ FINAL, GURABO, P.R.","18.2558500002","-65.9750703348","(18.2558500002, -65.9750703348)"
"2640","CENTRO GUBERNAMENTAL","SAN LORENZO","CAGUAS","CALLE LUIS MUÑOZ RIVERA FINAL, SAN LORENZO, P.R.","18.1855199999","-65.9626099977","(18.1855199999, -65.9626099977)"
"2440","CENTRO GUBERNAMENTAL","LUQUILLO","CAROLINA","CALLE 14 DE JULIO, LUQUILLO, P.R. 00773","18.3751100002","-65.7171499996","(18.3751100002, -65.7171499996)"
"2830","CENTRO GUBERNAMENTAL","LOÍZA","CAROLINA","CALLE GARCÍA DE LA NOCEDA, LOÍZA, P.R.","18.4325800027","-65.8810099992","(18.4325800027, -65.8810099992)"
