"station_code","station_name","y","x","elevation","coord_x_y","active"
"RQC00665064","JUNCOS 1 SE","18.2264","-65.9114","64.9","(18.2264, -65.9114)","Yes"
"RQC00665075","LA FE","18.2333","-65.7667","45.1","(18.2333, -65.7667)","No"
"RQ1PRLJ0001","LAJAS 0.7 SE","18.0383","-67.0533","30.2","(18.0383, -67.0533)","Yes"
"RQ1PRLJ0002","LAJAS 2.2 E","18.0424","-67.0276","30.8","(18.0424, -67.0276)","Yes"
"RQC00665097","LAJAS SUBSTN","18.0331","-67.0722","27.4","(18.0331, -67.0722)","Yes"
"RQ1PRGB0002","LA MARQUESA 6.5 S","18.2921","-66.1163","243.8","(18.2921, -66.1163)","Yes"
"RQC00665120","LA MINA EL YUNQUE","18.3","-65.7833","625.1","(18.3, -65.7833)","No"
"RQC00665123","LA MUDA CAGUAS","18.3167","-66.1","88.4","(18.3167, -66.1)","No"
"RQC00665175","LARES","18.2833","-66.8833","451.1","(18.2833, -66.8833)","No"
"RQC00665474","LOS CANOS","18.4333","-66.7167","9.1","(18.4333, -66.7167)","No"
"RQ1PRLQ0001","LUQUILLO 2.5 SE","18.3537","-65.6924","5.5","(18.3537, -65.6924)","No"
"RQC00665693","MAGUEYES ISLAND","17.9722","-67.0461","3.7","(17.9722, -67.0461)","Yes"
"RQC00665807","MANATI 2 E","18.4308","-66.4661","76.2","(18.4308, -66.4661)","Yes"
"RQC00665906","MARICAO","18.1833","-66.9833","456.9","(18.1833, -66.9833)","No"
"RQC00665908","MARICAO 2 SSW","18.1511","-66.9889","863.2","(18.1511, -66.9889)","Yes"
"RQC00665911","MARICAO FISH HATCHERY","18.1725","-66.9872","457.2","(18.1725, -66.9872)","Yes"
"RQC00666017","MATRULLAS DAM","18.2167","-66.4833","746.2","(18.2167, -66.4833)","No"
"RQC00666050","MAUNABO","18.0094","-65.8989","14.9","(18.0094, -65.8989)","No"
"RQ1PRMY0003","MAYAGUEZ 1.7 NE","18.2222","-67.1274","100","(18.2222, -67.1274)","No"
"RQC00666083","MAYAGUEZ AP","18.2539","-67.1486","11.6","(18.2539, -67.1486)","No"
"RQ1PRMY0005","MAYAGUEZ ARRIBA","18.217","-67.1167","117","(18.217, -67.1167)","Yes"
"RQC00666073","MAYAGUEZ CITY","18.1875","-67.1378","22.6","(18.1875, -67.1378)","No"
"RQC00666128","MELANIA DAM","17.9833","-66.15","42.1","(17.9833, -66.15)","No"
"RQC00666255","MONA ISLAND","18.0833","-67.85","50.9","(18.0833, -67.85)","No"
"RQC00666258","MONA ISLAND 2","18.0908","-67.9442","2.1","(18.0908, -67.9442)","No"
"RQC00666250","MONA ISLAND LIGHT STN","18.0833","-67.85","70.1","(18.0833, -67.85)","No"
"RQC00666270","MONTE BELLO MANATI","18.3794","-66.5153","195.1","(18.3794, -66.5153)","No"
"RQC00666361","MORA CAMP","18.4736","-67.0289","125","(18.4736, -67.0289)","Yes"
"RQC00666390","MOROVIS 1 N","18.3344","-66.4078","182.9","(18.3344, -66.4078)","Yes"
"RQC00666427","NAGUABO 3 E","18.2167","-65.6833","21.3","(18.2167, -65.6833)","No"
"RQC00666432","NAGUABO 6 W","18.2333","-65.7333","29.9","(18.2333, -65.7333)","No"
"RQC00666440","NARANJALES","18.2097","-66.9956","518.2","(18.2097, -66.9956)","No"
"RQC00666514","NEGRO - COROZAL","18.2886","-66.3433","538.3","(18.2886, -66.3433)","No"
"RQ1PRSL0001","NIMBUS","18.217","-65.9607","195.1","(18.217, -65.9607)","No"
"RQC00666730","PALMAREJO VEGA BAJA","18.385","-66.43","170.7","(18.385, -66.43)","Yes"
"RQC00666740","PALMARITO","18.2833","-66.35","472.1","(18.2833, -66.35)","No"
"RQC00666725","PALMA SOLA","18.3169","-65.8664","466","(18.3169, -65.8664)","Yes"
"RQC00666805","PARAISO","18.265","-65.7208","109.7","(18.265, -65.7208)","Yes"
"RQC00666900","PATILLAS","18.0025","-66.0128","13.7","(18.0025, -66.0128)","No"
"RQC00666904","PATILLAS DAM","18.0333","-66.0333","73.2","(18.0333, -66.0333)","No"
"RQC00666983","PENUELAS 1 E","18.0586","-66.7183","143.3","(18.0586, -66.7183)","No"
