"region","distrito","municipio_escolar","c_digo_escuela","nombre_escuela","matr_cula_m1","matr_cula_m1_entre_5_y_17_a_os_2013_2014","m1_entre_5_y_17_a_os_bajo_nivel_pobreza_2013_2014","bnp_2013_2014"
"PONCE","SANTA ISABEL","VILLALBA","53215","AUREA GINESTRE","97","86","65","75.58"
"PONCE","SANTA ISABEL","VILLALBA","53256","FRANCISCO ZAYAS SANTANA","441","434","267","61.52"
"PONCE","SANTA ISABEL","VILLALBA","53280","WALTER MCJONES","501","473","387","81.82"
"PONCE","YAUCO","YAUCO","53314","TERESA SEMIDEI RODRIGUEZ","94","80","70","87.50"
"PONCE","YAUCO","YAUCO","53322","ALMACIGO ALTO 1","109","103","75","72.82"
"PONCE","YAUCO","YAUCO","53330","DORIS MARTINEZ (ALMACIGO ALTO 2)","121","102","83","81.37"
"PONCE","YAUCO","YAUCO","53355","ALMACIGO BAJO I  Y II","122","118","91","77.12"
"PONCE","YAUCO","YAUCO","53363","ARTURO LLUBERAS","255","248","192","77.42"
"PONCE","YAUCO","YAUCO","53447","PATRIA PEREZ","130","122","99","81.15"
"PONCE","YAUCO","YAUCO","53470","ERNESTO RAMOS ANTONINI (ESPECIALIZADA BELLAS ART) ","381","374","194","51.87"
"PONCE","YAUCO","YAUCO","53512","LUIS MUNOZ RIVERA","240","235","186","79.15"
"PONCE","YAUCO","YAUCO","53579","LUIS A .FERRE AGUAYO (PALOMAS)","145","128","103","80.47"
"PONCE","YAUCO","YAUCO","53595","RAFAEL MARTINEZ NADAL","176","171","151","88.30"
"PONCE","YAUCO","YAUCO","53603","ELVIRA VICENTE","410","410","312","76.10"
"PONCE","YAUCO","YAUCO","53611","CARMEN ESPADA","63","56","50","89.29"
"PONCE","YAUCO","YAUCO","53660","LENA M. FRANCESCH (RUBIAS KM. 25)","114","112","109","97.32"
"PONCE","YAUCO","YAUCO","53678","INTERMEDIA ANA M. NEGRON ","249","249","199","79.92"
"PONCE","YAUCO","YAUCO","53686","S. U. JAIME CASTANER","248","244","212","86.89"
"PONCE","YAUCO","YAUCO","53702","SANTIAGO NEGRONI","318","304","164","53.95"
"PONCE","YAUCO","YAUCO","53710","SIERRA ALTA","65","61","53","86.89"
"PONCE","YAUCO","YAUCO","53744","BENECIA VELEZ","181","175","136","77.71"
"PONCE","PONCE","PONCE II","54247","LIBRADO NET","303","289","220","76.12"
"PONCE","PONCE","PONCE I","54288","ERNESTO RAMOS ANTONINI","131","128","123","96.09"
"PONCE","YAUCO","PEÑUELAS","54429","TALLABOA ALTA INTERMEDIA","248","248","212","85.48"
"PONCE","YAUCO","YAUCO","54494","SANTA CATALINA","75","66","60","90.91"
"PONCE","PONCE","PONCE II","54502","JOSEFINA BOYA LEON","419","404","283","70.05"
"PONCE","UTUADO","ADJUNTAS","54551","RAFAEL APARICIO JIMENEZ","539","539","428","79.41"
"PONCE","UTUADO","JAYUYA","54619","JOSEFINA LEON ZAYAS","712","698","519","74.36"
"PONCE","PONCE","PONCE I","54635","HERMINIA GARCIA","412","395","286","72.41"
