"propertycode","area","location"
"S-1036-1-75-00","5460.3","Barceloneta"
"S-1036-0-70-00","39900.65","Barceloneta"
"S-0975-0-69-00","18926.080000000002","Trujillo Alto"
"S-0966-1-73-00","9885.9599999999991","Mayaguez"
"S-0966-0-68-00","29957.439999999999","Mayaguez"
"S-0961-1-79-00","15314.64","Cabo Rojo"
"S-0961-0-68-00","11497.43","Cabo Rojo"
"S-0843-1-72-02","9847.4","Ponce"
"S-0834-0-67-00","11458.67","Humacao"
"S-0828-1-69-00","11289.69","Rio Grande"
"S-0828-0-66-00","11327.7","Rio Grande"
"S-0793-0-66-00","26557.8","Humacao"
"S-0757-0-66-00","49821.65","Cidra"
"S-0756-0-66-00","48658.22","Comerio"
"S-0741-0-66-00","22332.31","Arroyo"
"S-0740-0-66-00","20841.2","Arroyo"
"S-0739-0-65-00","26039.49","Arroyo"
"S-0736-1-73-00","22970.25","Mayaguez"
"S-0736-0-66-00","11497.43","Mayaguez"
"S-0731-0-65-00","19777.14","Arroyo"
"S-0726-0-65-00","78169.37","Patillas"
"S-0711-0-63-00","1311.83","Lares"
"S-0626-0-63-00","1311.83","Lares"
"S-0623-1-67-00","11202","Aguadilla"
"S-0623-0-62-00","12367.74","Aguadilla"
"S-0572-1-67-00","9200.6299999999992","Mayaguez"
"S-0572-0-62-00","22993.88","Mayaguez"
"S-0571-0-62-00","19807.02","Bayamon"
"S-0558-0-61-00","39203.279999999999","Ponce"
"S-0550-1-65-00","14924.85","Salinas"
"S-0550-0-60-00","33367.25","Salinas"
"S-0412-2-72-00","8501.99","Luquillo"
"S-0412-1-65-00","8449.31","Luquillo"
"S-0412-0-57-00","5759.06","Luquillo"
"S-0385-0-56-00","22621.94","Gurabo"
"S-0380-0-57-00","3009.2","Ciales"
"S-0038-2-63-00","8454.73","Villalba"
"S-0007-3-67-00","25788.12","Cabo Rojo"
"S-0007-2-55-00","11898.36","Cabo Rojo"
"S-0007-1-46-00","11494.97","Cabo Rojo"
"M-1455-0-90-01","5768.26","Canovanas"
"M-1242-0-79-01","4455.01","Ceiba"
"M-0945-0-68-01","4422.01","Trujillo Alto"
"M-0944-0-70-01","4401.09","Canovanas"
"M-0824-0-67-02","4359.59","Carolina"
"M-0763-0-66-01","4439.6499999999996","Carolina"
"T-0525-1-68-00","11215","Ceiba"
"T-0956-1-88-00","11286.5","Ceiba"
"S-0726-1-68-00","7474.74","Patillas"
"T-0487-1-67-00","7545","Penuelas"
"T-0487-2-74-00","7782","Penuelas"
"M-1197-0-77-04","4361.72","Aguadilla"
"T-0440-1-63-02","11601.8","Barceloneta"
"T-1073-0-77-00","44856.75","Barranquitas"
"T-0636-3-68-00","3843","Cabo Rojo"
"M-1098-0-73-02","4367.1899999999996","Canovanas"
"M-1098-0-73-04","6454.44","Canovanas"
"M-1447-0-89-04","5768.26","Canovanas"
"M-1248-0-79-03","4427.3599999999997","Canovanas"
"M-0944-0-70-02","4366.9399999999996","Canovanas"
"M-0944-0-70-03","4366.9399999999996","Canovanas"
"M-0944-0-70-04","4366.8100000000004","Canovanas"
"T-0627-1-70-00","5447.6","Canovanas"
"M-0790-0-66-02","4391.59","Bayamon"
"M-1189-0-77-04","4362.4399999999996","Bayamon"
"M-0959-0-70-02","4359.59","Bayamon"
"T-0306-1-56-00","11214.6","Bayamon"
"T-0306-2-91-00","11160","Bayamon"
"M-1242-0-79-02","4432.88","Ceiba"
"M-0763-0-66-05","4429.84","Carolina"
"M-0795-0-66-04","4359.75","Carolina"
"T-1313-0-80-02","11268","Carolina"
"M-1298-0-80-04","4435.78","Carolina"
"M-1298-0-80-05","4461.84","Carolina"
"M-1390-0-86-02","5745.63","Carolina"
"T-0327-1-61-00","11310.68","Humacao"
"T-0469-1-64-00","15520","Humacao"
"T-1414-0-87-02","11260.76","Humacao"
"T-0675-0-64-00","22892.45","Mayaguez"
"T-0675-1-67-00","22517.48","Mayaguez"
"T-0480-0-58-00","11467.74","Mayaguez"
"T-0480-1-63-00","11317.61","Mayaguez"
"T-0480-4-72-00","11489.03","Mayaguez"
"T-0480-5-79-00","22760.69","Mayaguez"
"S-0830-0-67-00","76002.69","Mayaguez"
"T-1003-1-74-00","11185.43","Mayaguez"
"T-0484-1-64-00","11286.89","Naguabo"
"T-0484-2-66-00","11396.42","Naguabo"
"M-1306-0-80-05","4461.79","Ponce"
"T-0492-1-64-00","11278.06","Quebradillas"
"T-0784-1-68-00","18585.580000000002","Quebradillas"
"T-0784-2-69-00","37246.839999999997","Quebradillas"
"T-1005-1-70-00","11390.45","San German"
"M-0945-0-68-02","4358","Trujillo Alto"
"T-0867-4-77-00","1268.1300000000001","Vega Baja"
"T-0867-5-94-00","3848.02","Vega Baja"
"S-0038-3-63-00","4565.17","Villalba"
"T-0671-0-64-00","11497","Lajas"
"T-0671-1-64-00","11333","Lajas"
"T-0780-4-94-00","7865.98","Luquillo"
"S-1538-0-03-00","20578.63","Mayaguez"
"T-1459-0-90-02","7112.89","Aguadilla"
