"programa","fecha_emision","municipio","familias","participantes","beneficios","beneficio_promedio","femenino","masculino","otros","edad_0_4","edad_5_13","edad_14_17","edad_18_24","edad_25_44","edad_45_64","edad_65","incapacitados","deambulantes","estudiantes"
"TANF","201306","CIDRA","583","1058","75754","129.94","323","260","0","50","78","22","27","117","158","131","216","1","90"
"PAN","201210","UTUADO","11941","35003","3581029","299.89","6381","5559","1","978","1701","753","1443","2651","2668","1747","1037","21","2866"
"PAN","201210","VEGA BAJA","24072","68587","6935537","288.12","13723","10344","5","1963","3913","1732","2772","5325","4712","3655","2205","9","5279"
"PAN","201210","AGUAS BUENAS","11344","31359","3185798","280.84","6521","4820","3","1064","1806","760","1244","2405","2368","1697","1207","12","2799"
"PAN","201210","SABANA GRANDE","9835","29493","2901091","294.98","5349","4486","0","846","1437","669","1165","2314","1960","1444","831","10","2398"
"PAN","201210","VIEQUES","4247","12325","1271001","299.27","2330","1916","1","488","703","264","549","932","798","513","283","2","795"
"TANF","201211","ARECIBO","2373","4627","338670","142.72","1494","879","0","216","403","136","147","436","555","480","631","11","467"
"TANF","201211","CAYEY","891","1668","119342","133.94","538","353","0","81","140","38","50","162","239","181","284","0","23"
"TANF","201211","VEGA BAJA","1128","2178","157400","139.54","674","454","0","116","217","58","71","183","234","249","270","0","238"
"TANF","201211","SAN JUAN","5108","11640","844461","165.32","3337","1770","1","714","1065","274","333","936","872","914","959","57","1025"
"TANF","201211","SALINAS","795","1762","148235","186.46","490","305","0","103","154","57","61","157","142","121","174","1","21"
"TANF","201211","AGUADA","737","1329","97329","132.06","433","304","0","60","90","26","40","151","206","164","255","0","79"
"TANF","201211","VIEQUES","332","691","47674","143.6","207","125","0","40","74","13","27","63","54","61","72","1","45"
"TANF","201211","LAS MARÍAS","243","485","38686","159.2","139","104","0","22","39","10","9","49","54","60","62","1","49"
"TANF","201211","AIBONITO","570","1053","77479","135.93","345","225","0","38","86","23","30","112","177","104","217","0","107"
"TANF","201212","BAYAMON","2680","5681","425050","158.6","1656","1024","0","316","532","130","145","496","490","571","611","8","576"
"TANF","201212","COAMO","662","1093","84043","126.95","400","262","0","36","83","19","34","122","177","191","228","2","52"
"TANF","201212","VEGA ALTA","878","1921","137181","156.24","540","338","0","121","180","56","67","167","130","157","153","0","207"
"TANF","201212","ANGELES","178","308","26833","150.75","106","72","0","13","21","10","10","35","48","41","58","0","37"
"TANF","201212","MOROVIS","724","1362","104930","144.93","428","296","0","56","117","38","34","146","162","171","219","0","142"
"TANF","201212","AÑASCO","487","931","66887","137.34","302","185","0","37","83","28","20","103","125","91","164","0","108"
"TANF","201212","TOA BAJA","1268","2472","173656","136.95","799","469","0","130","205","65","65","245","300","258","392","1","260"
"TANF","201212","SAN GERMÁN","742","1221","88916","119.83","445","297","0","32","108","21","27","134","223","197","253","2","120"
"TANF","201212","NAGUABO","925","2006","146597","158.48","603","322","0","134","175","59","76","193","179","109","232","3","192"
"TANF","201212","RIO PIEDRAS 3","1815","4016","290960","160.31","1201","614","0","297","378","85","135","382","317","221","385","10","443"
"PAN","201307","RIO GRANDE","19969","56647","6495608","325.28","11489","8475","5","1727","3119","1381","2276","4317","3938","3211","1802","11","3025"
"PAN","201307","SALINAS","12949","36007","4117446","317.97","7277","5670","2","1140","1918","896","1543","2852","2621","1979","1131","5","619"
"PAN","201307","HUMACAO","21640","57236","6646005","307.12","12566","9065","9","2019","3184","1343","2504","4895","4545","3150","2519","37","4130"
"PAN","201307","SAN GERMÁN","13834","39432","4496916","325.06","7556","6277","1","1143","1932","862","1558","3014","2939","2386","1321","5","2997"
"PAN","201311","OROCOVIS","12955","38911","3896220","300.75","6727","6226","2","1020","1778","905","1698","2983","2945","1625","1536","3","2575"
"PAN","201311","ARECIBO","41486","106723","11055686","266.49","23195","18282","9","3151","5654","2609","4944","9648","8749","6729","4111","114","8053"
"PAN","201311","CANOVANAS","18873","54495","5453288","288.95","10822","8042","9","1711","2969","1363","2168","4012","3928","2718","1535","17","4483"
"PAN","201311","MOROVIS","14626","43386","4357725","297.94","7888","6738","0","1173","2155","1144","1773","3374","3157","1850","1697","10","3548"
"PAN","201311","LAS PIEDRAS","15217","39870","4057447","266.64","8519","6689","9","1249","2313","926","1721","3606","3179","2223","1715","6","2762"
"PAN","201311","PATILLAS","8608","23496","2351265","273.15","4634","3971","3","700","1165","510","969","1907","2026","1331","1131","5","543"
"PAN","201311","CIALES","10242","29127","2928059","285.89","5524","4716","2","887","1434","645","1248","2307","2300","1421","1330","0","1621"
"PAN","201311","GUAYNABO","13054","35321","3582043","274.4","7814","5238","2","1117","2275","857","1448","2844","2639","1874","964","41","2646"
"PAN","201311","ADJUNTAS","9304","28758","2907841","312.54","4993","4311","0","720","1369","615","1153","2207","2016","1224","632","2","2200"
"PAN","201311","CABO ROJO","16112","45651","4559504","282.99","9146","6964","2","1218","2228","1060","1752","3638","3309","2906","1078","3","3792"
"PAN","201311","HORMIGUEROS","5161","13551","1350739","261.72","2972","2189","0","374","629","288","473","1111","1099","1187","404","4","732"
"PAN","201311","MARICAO","2713","8378","845289","311.57","1383","1330","0","225","389","181","312","719","584","303","192","2","493"
"PAN","201311","CASTAÑER","1918","5740","591816","308.56","972","946","0","113","229","111","199","412","494","360","117","0","289"
"TANF","201312","CANOVANAS","1214","2755","195928","161.39","755","459","0","152","261","70","102","260","208","161","272","1","237"
"TANF","201312","NAGUABO","864","1833","127829","147.95","569","295","0","110","170","54","66","185","173","106","228","2","176"
"TANF","201312","NARANJITO","646","1136","82610","127.88","385","261","0","41","88","26","24","140","191","136","237","0","55"
"TANF","201312","VEGA BAJA","1053","2039","136877","129.99","613","440","0","100","199","58","65","164","215","252","248","0","234"
"TANF","201312","ARECIBO","2323","4430","318923","137.29","1475","848","0","210","378","119","137","428","556","495","637","11","427"
"TANF","201312","AGUAS BUENAS","652","1342","95648","146.7","397","255","0","58","121","26","27","137","143","140","176","2","144"
"TANF","201312","LAS MARÍAS","262","538","39776","151.82","150","112","0","30","45","11","18","52","42","64","60","1","57"
"TANF","201312","ADJUNTAS","378","606","41910","110.87","218","160","0","15","38","13","11","74","135","92","164","0","52"
"TANF","201312","GURABO","500","915","62733","125.47","315","185","0","43","71","21","21","97","137","110","163","1","50"
"PAN","201312","MAYAGÜEZ","31304","84148","9723968","310.63","18021","13277","6","2617","4449","1896","3412","6898","6460","5572","1896","205","6403"
"PAN","201312","CAROLINA","42910","118470","13510162","314.85","26073","16824","13","4125","7389","3065","4995","8990","7695","6651","3003","130","10506"
"PAN","201312","AÑASCO","11226","30748","3472688","309.34","6071","5155","0","795","1474","725","1227","2611","2522","1872","1120","6","2291"
"PAN","201312","HATILLO","16773","44253","5110403","304.68","9239","7531","3","1319","2271","1034","1842","4023","3625","2659","1391","5","3569"
"PAN","201312","TRUJILLO ALTO","17605","48107","5487676","311.71","10273","7329","3","1641","2884","1192","1772","3757","3386","2970","1587","93","3902"
"PAN","201312","VEGA BAJA","22937","64029","7315137","318.92","12977","9955","5","1753","3612","1583","2604","5076","4567","3741","2071","31","4876"
"PAN","201312","COAMO","16269","46957","5321315","327.08","9008","7251","10","1350","2395","1126","1975","3706","3416","2300","1482","4","2666"
"TANF","201312","CAYEY","952","1827","128453","134.93","589","363","0","88","161","45","53","181","243","181","301","0","14"
"TANF","201312","GUÁNICA","368","622","40933","111.23","227","141","0","26","52","21","22","71","79","97","107","0","60"
"PAN","201312","YAUCO","17780","49961","5668117","318.79","9827","7949","4","1357","2392","1067","1905","4128","4243","2688","1279","9","3903"
"TANF","201312","VIEQUES","335","711","48698","145.37","210","125","0","48","72","11","31","65","54","54","71","2","48"
"TANF","201312","MAUNABO","341","634","46467","136.27","210","131","0","35","58","19","30","62","74","63","90","0","17"
"PAN","201312","RIO PIEDRAS 3","19537","53090","6186588","316.66","12099","7436","2","2092","3761","1329","2188","4333","3441","2392","1385","254","5308"
"PAN","201312","GURABO","11600","32134","3646223","314.33","6590","5009","1","928","1704","690","1232","2521","2567","1958","1115","4","1816"
"PAN","201312","CIDRA","15760","43085","4848152","307.62","8907","6848","5","1419","2257","1039","1821","3607","3367","2250","1957","6","3413"
"PAN","201312","LAS MARÍAS","4630","13613","1551171","335.03","2404","2226","0","389","645","263","545","1090","990","708","280","8","1073"
"PAN","201312","YABUCOA","17680","46314","5255862","297.28","9729","7946","5","1308","2390","1041","1949","3967","4396","2629","3150","6","3522"
"PAN","201401","LAS PIEDRAS","15011","39140","4354271","290.07","8438","6564","9","1210","2263","905","1675","3549","3172","2237","1712","4","2729"
"PAN","201401","RINCÓN","5897","15780","1729030","293.21","3218","2679","0","417","789","380","611","1360","1364","975","454","5","672"
"PAN","201401","RIO PIEDRAS 4","15623","45161","5071134","324.59","9489","6130","4","1680","2964","1184","1735","3332","2796","1932","1051","70","4295"
"PAN","201401","HORMIGUEROS","5170","13633","1483902","287.02","2965","2204","1","382","642","275","476","1117","1083","1195","405","3","749"
"PAN","201401","SABANA GRANDE","9676","28679","3100799","320.46","5288","4388","0","794","1340","702","1112","2290","1957","1481","835","9","2317"
"TANF","201307","JUNCOS","958","1859","127909","133.52","582","376","0","94","158","41","48","207","254","156","291","3","106"
"TANF","201307","VIEQUES","348","734","48943","140.64","220","128","0","51","73","15","26","72","54","57","75","2","53"
"PAN","201308","LAJAS","11285","32655","4059618","359.74","6234","5047","4","887","1530","764","1277","2650","2352","1825","970","9","2681"
"PAN","201308","LARES","16323","46310","5812860","356.11","8603","7715","5","1116","2176","1072","1906","4014","3592","2447","1762","5","3536"
"PAN","201308","UTUADO","11694","33565","4252600","363.66","6251","5442","1","917","1654","722","1353","2629","2613","1806","1058","18","2701"
"PAN","201308","CAGUAS","44094","119382","14861941","337.05","25937","18133","24","3712","6879","3031","4714","9666","8681","7408","3950","168","6630"
"PAN","201308","JUNCOS","17090","47600","5982483","350.06","9736","7352","2","1345","2823","1151","1895","4031","3451","2394","1675","29","3058"
"PAN","201308","RIO PIEDRAS 3","19726","54115","6896679","349.62","12228","7493","5","2205","3780","1348","2251","4368","3428","2346","1400","252","5376"
"PAN","201308","RIO PIEDRAS","13633","33016","4268141","313.07","8087","5544","2","1165","2074","794","1332","2814","2934","2520","975","412","3244"
"PAN","201308","BARCELONETA","11648","31196","3945853","338.76","6616","5029","3","940","1770","761","1354","2695","2293","1835","1049","3","2151"
"PAN","201308","FLORIDA","6908","19299","2444872","353.92","3811","3097","0","603","1027","472","891","1630","1389","895","620","8","1522"
"PAN","201308","TOA ALTA","21856","63236","7862168","359.73","12440","9410","6","1939","3544","1629","2515","4942","4466","2819","2023","4","5143"
"PAN","201308","SAN LORENZO","15664","42153","5219044","333.19","8663","6998","3","1090","2058","938","1639","3360","3994","2585","1925","8","2926"
"PAN","201308","LOIZA","11754","35174","4461077","379.54","6811","4942","1","1148","1881","824","1548","2664","2348","1341","700","17","2893"
"PAN","201308","GUÁNICA","8752","25261","3139558","358.72","4839","3911","2","663","1186","573","944","1934","1922","1530","654","4","1818"
"PAN","201308","CULEBRA","519","1607","193838","373.48","284","233","2","51","72","33","70","131","98","64","34","1","44"
"PAN","201309","HATILLO","16914","45021","5575887","329.66","9324","7586","4","1328","2330","1036","1899","4034","3642","2644","1403","6","3611"
"PAN","201309","BAYAMON","54641","151405","18506904","338.7","32822","21811","8","4985","9228","3893","5852","11535","10172","8976","4490","80","13447"
"PAN","201309","NAGUABO","11775","32889","4064869","345.21","6631","5143","1","1003","1853","756","1338","2881","2306","1638","1297","45","2572"
"PAN","201309","LOIZA","11765","35106","4379904","372.28","6819","4945","1","1148","1881","822","1558","2666","2348","1342","695","18","2887"
"PAN","201309","COMERIO","11409","30412","3823242","335.11","6164","5242","3","961","1671","769","1373","2738","2459","1438","1297","6","2325"
"PAN","201309","CABO ROJO","16049","45613","5541081","345.26","9103","6945","1","1226","2219","1061","1741","3637","3267","2898","1106","2","3762"
"PAN","201309","COROZAL","17662","50250","6159876","348.76","9609","8047","6","1471","2545","1130","2029","3913","4009","2564","2386","0","2958"
"PAN","201309","PONCE","71085","207281","25664882","361.04","40701","30374","10","6518","11328","4860","8541","16177","13972","9689","5266","235","16258"
"PAN","201309","VILLALBA","12795","38821","4749520","371.2","6964","5828","3","1028","1822","933","1582","2896","2714","1820","750","2","2630"
"PAN","201309","SALINAS","13261","36725","4460631","336.37","7421","5838","2","1166","1949","917","1591","2962","2667","2009","1136","5","606"
"PAN","201309","AGUADILLA","24378","66265","8307888","340.79","13504","10872","2","1937","3483","1471","2653","5791","5331","3712","2141","16","3826"
"PAN","201309","PATILLAS","8638","23621","2882666","333.72","4660","3975","3","688","1181","515","995","1894","2024","1341","1124","6","607"
"PAN","201309","SAN LORENZO","15881","42758","5193196","327.01","8791","7087","3","1129","2093","945","1670","3437","4019","2588","1943","9","2950"
"PAN","201309","ISABELA","17383","48825","5952580","342.44","9500","7877","6","1192","2364","1103","1840","3937","4071","2876","1955","4","3330"
"TANF","201308","LAS MARÍAS","262","542","40826","155.82","149","113","0","26","49","10","15","50","49","63","59","1","58"
"TANF","201308","ISABELA","999","1847","133674","133.81","584","415","0","63","147","41","42","197","255","254","305","0","142"
"TANF","201308","ADJUNTAS","369","633","46198","125.2","208","161","0","19","40","14","11","72","122","91","144","0","52"
"TANF","201308","LAJAS","452","786","53633","118.66","266","186","0","28","62","14","21","99","119","109","158","0","78"
"TANF","201308","VILLALBA","419","791","50816","121.28","259","160","0","22","41","31","18","76","89","142","115","0","60"
"TANF","201309","SAN SEBASTÍAN","996","1854","142658","143.23","610","386","0","93","136","41","53","194","253","226","306","1","166"
"TANF","201309","NAGUABO","885","1870","129954","146.84","576","309","0","118","164","55","70","187","187","104","245","5","178"
"TANF","201309","CAROLINA","2032","4297","291674","143.54","1339","693","0","218","419","107","124","416","378","370","452","8","388"
"TANF","201309","ARECIBO","2335","4382","315758","135.23","1493","842","0","223","371","117","148","422","559","495","623","9","418"
"TANF","201309","COROZAL","1053","1684","122402","116.24","595","458","0","55","127","30","44","196","330","271","392","0","88"
"TANF","201309","CATAÑO","643","1296","88214","137.19","417","226","0","59","131","26","33","126","129","139","158","5","123"
"TANF","201309","RINCÓN","299","557","39380","131.71","180","119","0","19","48","9","8","62","77","76","90","0","19"
"TANF","201309","NARANJITO","665","1168","84149","126.54","385","280","0","38","90","23","22","147","209","136","253","0","58"
"TANF","201309","PATILLAS","561","1117","76571","136.49","332","229","0","51","89","28","39","114","129","111","172","0","26"
"TANF","201309","ADJUNTAS","382","656","47888","125.36","214","168","0","22","40","14","13","75","126","92","152","0","52"
"TANF","201309","SANTA ISABEL","639","1308","94466","147.83","401","238","0","99","104","41","56","128","127","84","164","1","17"
"TANF","201309","FLORIDA","412","878","65136","158.1","258","154","0","48","85","28","30","78","86","57","89","0","99"
"PAN","201310","SABANA GRANDE","9762","28903","2860858","293.06","5357","4405","0","800","1338","728","1147","2285","1976","1488","839","10","2359"
"PAN","201310","TOA ALTA","21722","62711","6288884","289.52","12378","9341","3","1918","3484","1622","2508","4900","4453","2834","1998","6","5106"
"PAN","201310","RIO GRANDE","19856","55896","5577416","280.89","11415","8437","4","1680","3068","1377","2239","4325","3966","3201","1811","12","2921"
"PAN","201310","ARROYO","8353","23300","2344777","280.71","4712","3637","4","761","1241","517","1036","1975","1674","1149","712","10","458"
"PAN","201310","JUNCOS","17103","47446","4814891","281.52","9742","7359","2","1339","2806","1157","1907","4044","3461","2389","1676","29","3098"
"PAN","201310","CAYEY","14083","37103","3671064","260.67","7999","6082","2","1140","2022","892","1414","3082","3101","2431","1587","14","806"
"PAN","201310","RINCÓN","5952","15994","1606225","269.86","3237","2714","1","419","814","386","623","1382","1363","965","466","3","714"
"TANF","201308","CULEBRA","14","18","1220","87.14","6","8","0","0","2","0","0","5","4","3","6","0","0"
"TANF","201310","AIBONITO","492","831","60504","122.98","302","190","0","45","50","15","29","86","168","99","200","1","62"
"TANF","201310","ARECIBO","2338","4414","317731","135.9","1502","836","0","225","364","123","147","419","568","492","637","11","422"
"TANF","201310","SAN SEBASTÍAN","996","1844","141877","142.45","609","387","0","94","133","38","54","192","254","231","304","1","159"
"TANF","201310","LAJAS","449","747","51863","115.51","264","185","0","23","59","15","17","99","121","115","160","0","76"
"TANF","201310","JAYUYA","567","1115","83017","146.41","324","243","0","51","83","18","38","145","151","81","228","0","85"
"TANF","201310","CEIBA","424","980","73529","173.42","279","145","0","58","99","35","28","104","63","37","78","0","72"
"TANF","201311","VEGA BAJA","1062","2073","141456","133.2","622","440","0","104","206","55","65","163","218","251","251","1","242"
"TANF","201311","JAYUYA","570","1136","84808","148.79","325","245","0","50","86","17","36","148","153","80","230","0","84"
"TANF","201311","PEÑUELAS","709","1485","103016","145.3","426","283","0","67","119","34","55","156","190","88","259","1","140"
"TANF","201311","RIO PIEDRAS 4","1202","2515","172537","143.54","750","452","0","109","231","62","52","226","316","206","342","8","251"
"TANF","201311","HATILLO","881","1742","126865","144","534","347","0","83","144","47","62","181","202","162","247","0","195"
"TANF","201311","GUAYANILLA","477","800","56966","119.43","289","188","0","25","66","23","14","89","119","141","154","0","87"
"TANF","201311","YAUCO","762","1259","88071","115.58","482","280","0","38","88","32","23","150","216","215","268","2","96"
"TANF","201311","MARICAO","142","296","22079","155.49","93","49","0","11","35","4","9","34","22","27","34","0","26"
"TANF","201311","CATAÑO","655","1285","86621","132.25","431","224","0","58","126","25","33","122","148","143","177","6","114"
"TANF","201311","AGUADA","674","1203","84732","125.72","401","273","0","45","99","19","28","145","168","170","224","0","72"
"TANF","201311","GUÁNICA","389","683","45095","115.93","245","144","0","33","60","15","23","75","84","99","111","0","60"
"TANF","201311","RIO GRANDE","1148","2440","173938","151.51","763","385","0","117","226","71","77","233","198","226","245","0","146"
"TANF","201311","FLORIDA","418","906","67174","160.7","266","152","0","42","94","30","31","80","85","56","88","0","111"
"TANF","201311","COAMO","617","965","66694","108.09","366","251","0","25","71","18","25","115","169","194","225","1","50"
"PAN","201311","COROZAL","17586","49937","5018314","285.36","9571","8010","5","1462","2512","1132","2027","3899","3985","2568","2368","0","2972"
"PAN","201311","VEGA ALTA","16493","47029","4772817","289.38","9313","7175","5","1473","2703","1149","1962","3836","3223","2147","1459","13","3954"
"PAN","201311","CAROLINA","42910","118816","11959389","278.71","26079","16819","12","4167","7392","3048","4980","9012","7679","6632","3003","132","10498"
"TANF","201301","RIO GRANDE","1103","2462","172157","156.08","726","377","0","99","243","73","70","222","176","220","226","0","144"
"TANF","201301","VEGA ALTA","921","2035","155505","168.84","565","356","0","129","190","59","69","177","138","159","166","0","219"
"TANF","201301","TOA ALTA","1088","2123","151028","138.81","648","440","0","76","197","65","54","213","263","220","321","0","201"
"PAN","201302","UTUADO","11787","34315","3875510","328.8","6302","5484","1","951","1689","746","1396","2609","2621","1775","1030","15","2780"
"PAN","201302","AÑASCO","11342","31155","3437176","303.05","6097","5244","1","854","1495","726","1282","2636","2493","1856","1089","4","2287"
"PAN","201302","CAROLINA","42554","119022","13260968","311.63","25935","16605","14","4210","7519","3106","4892","8965","7428","6434","2995","91","10681"
"PAN","201302","BARCELONETA","11838","31997","3601652","304.24","6689","5145","4","991","1783","794","1420","2713","2328","1809","1046","3","2216"
"PAN","201302","RIO GRANDE","20123","57377","6345905","315.36","11544","8574","5","1756","3158","1412","2289","4396","3970","3142","1802","9","3106"
"PAN","201302","DORADO","11529","32754","3625575","314.47","6630","4891","8","1047","1880","799","1297","2507","2315","1683","1008","4","2582"
"PAN","201302","SABANA GRANDE","9631","28689","3137544","325.78","5252","4379","0","816","1349","658","1147","2257","1949","1455","839","10","2293"
"TANF","201303","MAYAGÜEZ","1873","3833","265557","141.78","1218","655","0","207","359","76","105","323","351","452","384","14","352"
"TANF","201303","COROZAL","1042","1636","117701","112.96","597","445","0","53","119","30","44","186","339","271","397","0","83"
"TANF","201303","SAN JUAN","4651","10344","728110","156.55","3077","1573","1","601","972","224","279","843","819","913","894","49","906"
"TANF","201303","HUMACAO","1599","3660","261948","163.82","1012","587","0","264","326","107","138","299","271","194","307","6","325"
"TANF","201303","PONCE","3662","6889","473434","129.28","2194","1468","0","320","567","141","186","656","982","810","1159","22","541"
"TANF","201303","MANATI","1308","2713","195802","149.7","842","466","0","139","273","67","96","242","257","234","279","0","254"
"TANF","201303","YAUCO","781","1321","93467","119.68","493","288","0","36","96","31","26","144","231","217","270","2","98"
"TANF","201303","YABUCOA","1359","2687","197719","145.49","879","479","1","178","211","55","112","268","327","208","371","1","200"
"TANF","201303","MOROVIS","683","1246","90190","132.05","404","279","0","47","103","41","28","141","155","168","212","0","131"
"TANF","201303","LOIZA","763","1586","105586","138.38","479","284","0","88","154","36","59","139","134","153","169","0","167"
"TANF","201303","JUNCOS","974","1957","134636","138.23","601","373","0","92","177","39","50","217","240","159","289","3","116"
"TANF","201302","SABANA GRANDE","582","1218","83795","143.98","348","234","0","62","95","35","50","129","129","82","194","2","135"
"TANF","201303","SALINAS","763","1675","120314","157.69","468","295","0","110","141","52","56","151","135","118","167","1","13"
"TANF","201303","DORADO","473","968","65048","137.52","299","174","0","31","96","25","15","88","100","118","120","0","98"
"TANF","201302","LAS PIEDRAS","1179","2426","177566","150.61","750","429","0","139","250","54","82","276","236","142","309","1","191"
"TANF","201302","MAYAGÜEZ","1873","3880","270656","144.5","1209","664","0","210","363","77","103","325","346","449","380","12","369"
"TANF","201302","YABUCOA","1395","2741","201378","144.36","898","496","1","175","222","52","117","282","342","205","391","1","204"
"TANF","201302","SAN LORENZO","898","1456","104935","116.85","564","334","0","39","122","39","42","187","287","182","372","0","125"
"TANF","201302","LOIZA","779","1631","109518","140.59","490","289","0","97","155","36","60","142","135","154","170","0","169"
"PAN","201303","VEGA ALTA","16351","47039","4844218","296.26","9264","7083","4","1457","2789","1133","1951","3770","3171","2080","1486","14","4029"
"PAN","201303","TRUJILLO ALTO","18103","50049","5115645","282.59","10596","7504","3","1770","3071","1204","1844","3847","3404","2961","1609","75","4016"
"PAN","201303","CAROLINA","42493","118763","12167204","286.33","25900","16579","14","4185","7533","3081","4894","8934","7436","6430","2972","93","10666"
"PAN","201303","RIO PIEDRAS 3","19744","54443","5670158","287.18","12211","7529","4","2195","3796","1378","2256","4452","3403","2264","1418","264","5479"
"PAN","201303","RIO PIEDRAS","13169","31713","3371304","256","7855","5314","0","1148","1979","755","1269","2684","2839","2494","949","419","3177"
"PAN","201303","HORMIGUEROS","5179","13651","1387690","267.95","3010","2169","0","368","660","302","475","1099","1093","1182","413","5","741"
"PAN","201303","AIBONITO","11284","30305","3111101","275.71","6214","5069","1","968","1550","692","1404","2513","2512","1645","1490","4","2566"
"PAN","201303","COAMO","16439","48093","4904263","298.33","9137","7291","11","1416","2483","1168","2017","3694","3408","2253","1491","2","2792"
"PAN","201303","SABANA GRANDE","9655","28914","2906235","301.01","5269","4386","0","824","1355","669","1140","2262","1945","1460","837","9","2301"
"TANF","201302","CAMUY","783","1424","102735","131.21","473","310","0","65","108","36","43","166","205","160","250","0","131"
"PAN","201304","CAGUAS","44307","121034","12335129","278.4","26091","18194","22","3799","7022","3064","4790","9656","8622","7352","3930","147","6742"
"PAN","201304","NARANJITO","15771","45556","4633710","293.81","8494","7270","7","1379","2226","1038","1914","3697","3382","2133","2108","7","2632"
"PAN","201304","PEÑUELAS","12103","37547","3825264","316.06","6620","5473","10","1146","1985","751","1584","2880","2465","1290","1087","10","3021"
"TANF","201408","AGUADA","706","1345","93421","132.32","423","283","0","45","117","29","16","151","166","182","203","0","75"
"PAN","201304","LUQUILLO","8085","22998","2353496","291.09","4609","3471","5","731","1256","532","1023","1858","1552","1133","599","4","1462"
"PAN","201304","LAJAS","11359","33126","3378240","297.41","6265","5089","5","904","1572","757","1308","2652","2353","1813","990","8","2742"
"PAN","201304","ANGELES","4086","11618","1211892","296.6","2093","1993","0","288","500","289","491","912","942","664","313","1","848"
"PAN","201304","HORMIGUEROS","5201","13688","1391172","267.48","3019","2182","0","372","655","305","485","1098","1096","1190","419","5","732"
"PAN","201304","COAMO","16487","48140","4906621","297.61","9187","7289","11","1413","2484","1165","2014","3711","3425","2275","1490","2","2795"
"PAN","201304","CASTAÑER","1965","6005","633492","322.39","986","979","0","129","229","112","218","424","497","356","115","0","307"
"PAN","201304","MAUNABO","5674","15984","1630970","287.45","3018","2656","0","469","733","340","699","1276","1317","840","671","0","556"
"TANF","201304","COMERIO","630","1100","82546","131.03","363","267","0","52","74","25","39","128","194","118","227","0","60"
"TANF","201304","BARRANQUITAS","849","1331","104079","122.59","521","328","0","54","94","13","51","147","283","207","340","0","83"
"TANF","201304","COROZAL","1045","1648","119839","114.68","598","447","0","53","123","28","44","188","339","270","398","0","80"
"TANF","201304","MANATI","1294","2665","193416","149.47","832","462","0","140","264","66","91","243","258","232","280","0","258"
"TANF","201304","HUMACAO","1566","3529","254324","162.4","999","567","0","255","314","105","135","291","269","197","306","4","308"
"PAN","201310","LOIZA","11642","34656","3548448","304.8","6767","4874","1","1131","1866","802","1534","2628","2338","1343","696","18","2837"
"PAN","201310","GUAYNABO","13069","35403","3582255","274.1","7830","5239","0","1103","2294","861","1447","2847","2645","1872","969","39","2657"
"TANF","201310","LAS PIEDRAS","1023","2022","149876","146.51","654","369","0","122","200","43","72","235","215","136","282","0","143"
"TANF","201310","NARANJITO","658","1147","81831","124.36","383","275","0","37","88","25","20","146","205","137","251","0","56"
"TANF","201310","VEGA BAJA","1073","2109","143609","133.84","628","445","0","102","214","57","65","171","222","242","261","1","252"
"TANF","201310","OROCOVIS","681","1255","92159","135.33","381","300","0","51","91","31","38","118","180","172","227","0","76"
"TANF","201310","MOCA","785","1301","93880","119.59","445","340","0","51","85","24","37","180","269","139","356","0","86"
"TANF","201310","LARES","886","1664","128829","145.41","544","342","0","68","135","35","49","176","208","215","271","1","148"
"TANF","201310","FAJARDO","926","2134","151759","163.89","581","345","0","181","182","37","97","166","135","128","173","0","95"
"TANF","201310","PATILLAS","542","1057","73485","135.58","317","225","0","46","84","26","36","110","129","111","169","0","25"
"TANF","201310","AGUADA","685","1260","88989","129.91","406","279","0","43","105","20","28","150","168","171","227","0","74"
"TANF","201310","GUAYANILLA","470","781","55462","118","290","180","0","27","59","22","17","89","115","141","156","0","78"
"TANF","201310","HORMIGUEROS","181","301","19744","109.08","104","77","0","12","24","4","14","30","49","48","65","0","19"
"TANF","201311","PONCE","3697","6778","457740","123.81","2232","1465","0","325","525","123","183","675","1016","850","1237","28","501"
"TANF","201311","NARANJITO","632","1087","77560","122.72","370","262","0","36","81","24","21","135","195","140","242","0","55"
"TANF","201311","CAYEY","972","1883","131462","135.25","596","376","0","92","168","44","55","186","249","178","304","0","20"
"TANF","201311","SANTA ISABEL","648","1310","92366","142.54","410","238","0","103","106","38","58","131","123","89","155","1","19"
"TANF","201311","CABO ROJO","571","990","67682","118.53","320","251","0","22","72","30","25","94","159","169","193","0","101"
"TANF","201311","ARROYO","649","1446","102950","158.63","387","262","0","87","134","39","52","140","121","76","154","0","23"
"TANF","201311","TOA ALTA","1058","2045","143791","135.91","639","419","0","67","181","69","53","212","254","222","319","0","199"
"PAN","201401","RIO GRANDE","19670","55292","6039616","307.05","11284","8380","6","1623","3040","1359","2228","4256","3951","3213","1796","10","2846"
"PAN","201401","MAUNABO","5509","14960","1632038","296.25","2948","2558","3","436","694","296","677","1231","1314","861","655","0","463"
"PAN","201401","YABUCOA","17505","45713","5009567","286.18","9629","7870","6","1284","2340","1022","1932","3915","4392","2620","3124","6","3493"
"PAN","201401","AGUAS BUENAS","10804","28962","3198674","296.06","6173","4631","0","892","1712","735","1093","2361","2259","1750","1146","18","2561"
"PAN","201401","JUANA DIAZ","19156","57562","6237900","325.64","10761","8390","5","1615","2769","1310","2437","4166","4104","2754","1334","5","3479"
