"ps","pobl","pmb","area","compl","nro_edif","tiposecurb","urb","ste","nro","nro_apart","tipo_via","calle","sector","cod_post","pais","x","y","lat","lon","location"
"181310","SAN JUAN","UNIVERSIDAD",,,,"URB","PEREZ MORRIS",,"42",,"CALLE","MAYAGUEZ",,"917","PR","240377","264101","18.4121","-66.0512","(18.4121, -66.0512)"
"181490","SAN JUAN","ORIENTE",,,,"URB","SAN JOSE",,"536",,"CALLE","ARNEDO",,"923","PR","241787","264277","18.4137","-66.0378","(18.4137, -66.0378)"
"181878","SAN JUAN","ORIENTE",,,,"URB","SAN JOSE",,"508",,"CALLE","ASTORGA",,"923","PR","241710","264538","18.416","-66.0386","(18.416, -66.0386)"
"182090","SAN JUAN","SABANA LLANA SUR",,,,"URB","AMERICA",,"510",,"CALLE","BARRANQUITAS",,"923","PR","242352","262331","18.3961","-66.0325","(18.3961, -66.0325)"
"182050","SAN JUAN","UNIVERSIDAD",,,,"URB","PEREZ MORRIS",,"69",,"CALLE","PONCE",,"917","PR","240618","264070","18.4118","-66.0489","(18.4118, -66.0489)"
"305670","SAN JUAN","SANTURCE",,,,"SECT"," ",,"341",,"CALLE","MERHOFF",,"915","PR","240848","267317","18.4411","-66.0467","(18.4411, -66.0467)"
"306058","SAN JUAN","SANTURCE",,,,"SECT"," ",,"216",,"CALLE","DIEZ DE ANDINO",,"912","PR","239350","267996","18.4473","-66.0608","(18.4473, -66.0608)"
"302111","SAN JUAN","SANTURCE",,,,"SECT"," ",,"255",,"CALLE","MERHOFF",,"915","PR","240961","267658","18.4442","-66.0456","(18.4442, -66.0456)"
"301904","SAN JUAN","SANTURCE",,,,"SECT"," ",,"158",,"CALLE","PEREZ",,"911","PR","239452","268284","18.4499","-66.0599","(18.4499, -66.0599)"
"301861","SAN JUAN","SANTURCE",,,,"SECT"," ",,"152",,"CALLE","PEREZ",,"911","PR","239458","268312","18.4502","-66.0598","(18.4502, -66.0598)"
"301820","SAN JUAN","SANTURCE",,,,"SECT"," ",,"207",,"CALLE","MERHOFF",,"915","PR","241006","267799","18.4455","-66.0452","(18.4455, -66.0452)"
"301737","SAN JUAN","SANTURCE",,,,"SECT"," ",,"201",,"CALLE","MERHOFF",,"915","PR","241016","267831","18.4458","-66.0451","(18.4458, -66.0451)"
"301943","SAN JUAN","SANTURCE",,,,"SECT"," ",,"160",,"CALLE","PEREZ",,"911","PR","239452","268276","18.4498","-66.0599","(18.4498, -66.0599)"
"301933","SAN JUAN","SANTURCE",,,,"SECT"," ",,"215",,"CALLE","MERHOFF",,"915","PR","240991","267754","18.4451","-66.0453","(18.4451, -66.0453)"
"301420","SAN JUAN","SANTURCE",,,,"SECT"," ",,"234",,"CALLE","MERHOFF",,"915","PR","240948","267663","18.4443","-66.0457","(18.4443, -66.0457)"
"301405","SAN JUAN","SANTURCE",,,,"SECT"," ",,"236",,"CALLE","MERHOFF",,"915","PR","240944","267653","18.4442","-66.0457","(18.4442, -66.0457)"
"301382","SAN JUAN","SANTURCE",,,,"SECT"," ",,"242",,"CALLE","MERHOFF",,"915","PR","240933","267625","18.4439","-66.0458","(18.4439, -66.0458)"
"299099","SAN JUAN","SANTURCE",,,,"SECT"," ",,"217",,"CALLE","DELBREY",,"912","PR","239317","268016","18.4475","-66.0611","(18.4475, -66.0611)"
"298713","SAN JUAN","SANTURCE",,,,"SECT"," ",,"271",,"CALLE","DELBREY",,"912","PR","239298","267879","18.4463","-66.0613","(18.4463, -66.0613)"
"298668","SAN JUAN","SANTURCE",,,,"SECT"," ",,"273",,"CALLE","DELBREY",,"912","PR","239296","267869","18.4462","-66.0613","(18.4462, -66.0613)"
"298613","SAN JUAN","SANTURCE",,,,"SECT"," ",,"706",,"CALLE","SANCHEZ",,"909","PR","238473","267581","18.4436","-66.0691","(18.4436, -66.0691)"
"298545","SAN JUAN","SANTURCE",,,,"SECT"," ",,"354",,"CALLE","MERHOFF",,"915","PR","240811","267268","18.4407","-66.047","(18.4407, -66.047)"
