"fch_cerrado","region","oficina","familias"
"201304","PONCE               ","YAUCO               ","69.0"
"201408","ARECIBO             ","LARES               ","62.0"
"201310","HUMACAO             ","CEIBA               ","25.0"
"201309","PONCE               ","JAYUYA              ","33.0"
"201403","AGUADILLA           ","ISABELA             ","55.0"
"201308","ARECIBO             ","CIALES              ","21.0"
"201302","PONCE               ","ADJUNTAS            ","36.0"
"201305","AGUADILLA           ","LAS MARÍAS          ","20.0"
"201308","ARECIBO             ","FLORIDA             ","18.0"
"201409","CAGUAS              ","AGUAS BUENAS        ","14.0"
"201308","HUMACAO             ","CEIBA               ","12.0"
"201305","BAYAMON             ","DORADO              ","29.0"
"201401","CAGUAS              ","CIDRA               ","31.0"
"201308","PONCE               ","PONCE 1             ","58.0"
"201211","BAYAMON             ","VEGA ALTA           ","42.0"
"201404","CAROLINA            ","CAROLINA 1          ","54.0"
"201407","CAROLINA            ","LOIZA               ","31.0"
"201403","GUAYAMA             ","CAYEY               ","60.0"
"201308","ARECIBO             ","MANATI              ","51.0"
