"fch_cerrado","region","oficina","familias"
"201407","BAYAMON             ","BAYAMON 3           ","69.0"
"201307","GUAYAMA             ","SANTA ISABEL        ","43.0"
"201302","ARECIBO             ","BARCELONETA         ","39.0"
"201409","PONCE               ","AIBONITO            ","31.0"
"201408","PONCE               ","ADJUNTAS            ","37.0"
"201409","CAROLINA            ","CANOVANAS           ","54.0"
"201211","SAN JUAN            ","RIO PIEDRAS 3       ","54.0"
"201309","GUAYAMA             ","SANTA ISABEL        ","39.0"
"201404","AGUADILLA           ","RINCÓN              ","30.0"
"201312","SAN JUAN            ","CUPEY               ","4.0"
"201302","BAYAMON             ","VEGA BAJA 1         ","51.0"
"201409","MAYAGÜEZ            ","SABANA GRANDE       ","29.0"
"201405","HUMACAO             ","MAUNABO             ","16.0"
"201212","PONCE               ","VILLALBA            ","22.0"
"201306","AGUADILLA           ","SAN SEBASTÍAN       ","65.0"
"201403","PONCE               ","COAMO               ","55.0"
"201404","CAGUAS              ","BARRANQUITAS        ","55.0"
"201310","GUAYAMA             ","SALINAS             ","70.0"
"201407","ARECIBO             ","QUEBRADILLAS        ","56.0"
"201212","SAN JUAN            ","SAN JUAN            ","51.0"
"201409","HUMACAO             ","NAGUABO             ","29.0"
"201308","ARECIBO             ","CAMUY               ","58.0"
"201309","CAROLINA            ","CAROLINA 2          ","67.0"
"201405","CAROLINA            ","CAROLINA 2          ","47.0"
"201303","BAYAMON             ","CATAÑO              ","18.0"
"201403","SAN JUAN            ","CUPEY               ","11.0"
"201304","ARECIBO             ","QUEBRADILLAS        ","44.0"
"201210","CAGUAS              ","AGUAS BUENAS        ","31.0"
"201401","MAYAGÜEZ            ","HORMIGUEROS         ","6.0"
"201304","GUAYAMA             ","GUAYAMA             ","57.0"
"201212","PONCE               ","PONCE 1             ","28.0"
"201302","BAYAMON             ","TOA BAJA 1          ","43.0"
"201309","PONCE               ","VILLALBA            ","48.0"
"201302","PONCE               ","COAMO               ","50.0"
"201212","HUMACAO             ","CEIBA               ","11.0"
"201311","CAGUAS              ","COMERIO             ","30.0"
"201402","SAN JUAN            ","RIO PIEDRAS 3       ","33.0"
"201210","BAYAMON             ","VEGA BAJA 1         ","31.0"
"201304","SAN JUAN            ","RIO PIEDRAS 1       ","18.0"
"201401","CAROLINA            ","LOIZA               ","25.0"
"201409","BAYAMON             ","TOA ALTA            ","40.0"
"201404","SAN JUAN            ","RIO PIEDRAS 3       ","37.0"
"201303","MAYAGÜEZ            ","SAN GERMAN          ","41.0"
"201301","MAYAGÜEZ            ","LAJAS               ","32.0"
"201311","SAN JUAN            ","RIO PIEDRAS 2       ","44.0"
"201408","BAYAMON             ","VEGA BAJA 1         ","30.0"
"201402","BAYAMON             ","DORADO              ","42.0"
"201305","CAGUAS              ","CAGUAS              ","147.0"
"201405","ARECIBO             ","ARECIBO 1           ","72.0"
"201402","ARECIBO             ","ARECIBO 3           ","54.0"
"201309","HUMACAO             ","YABUCOA             ","61.0"
"201302","CAGUAS              ","BARRANQUITAS        ","50.0"
"201403","PONCE               ","PONCE 3             ","80.0"
"201409","CAGUAS              ","GURABO              ","30.0"
"201409","BAYAMON             ","NARANJITO           ","23.0"
"201308","PONCE               ","JAYUYA              ","28.0"
"201301","ARECIBO             ","UTUADO 1            ","28.0"
"201407","ARECIBO             ","FLORIDA             ","21.0"
"201308","BAYAMON             ","TOA BAJA 1          ","54.0"
"201311","SAN JUAN            ","SAN JUAN            ","63.0"
"201310","PONCE               ","PONCE 1             ","47.0"
"201211","ARECIBO             ","MANATI              ","62.0"
"201405","GUAYAMA             ","GUAYAMA             ","67.0"
"201309","MAYAGÜEZ            ","SAN GERMAN          ","52.0"
